Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,459,495,498,534,590,645,667,668,634,603,503,449
1896,490,500,516,490,561,648,673,672,624,604,494,495
1897,459,469,459,561,606,653,687,690,656,576,508,461
1898,430,501,485,556,564,656,666,676,641,615,518,461
1899,499,485,501,542,553,636,677,654,671,582,543,475
1900,494,494,545,521,612,659,685,671,645,599,563,483
1901,473,498,519,512,577,638,683,690,629,616,551,469
1902,444,491,474,522,558,641,680,676,669,592,501,463
1903,457,429,490,512,578,655,655,676,651,616,532,464
1904,444,478,495,525,598,644,665,680,676,597,536,467
1905,485,497,523,541,550,616,688,668,649,590,516,459
1906,482,519,500,523,554,616,710,683,657,609,505,462
1907,442,515,484,552,567,602,664,657,618,593,526,489
1908,478,454,484,525,542,600,694,669,651,572,527,451
1909,496,478,463,530,552,616,661,670,650,595,503,451
1910,429,453,526,555,600,608,671,656,630,607,518,486
1911,478,444,512,509,548,603,679,653,627,585,511,452
1912,478,493,484,501,593,646,666,670,659,579,528,450
1913,442,483,494,539,590,629,696,714,691,608,532,476
1914,498,492,542,553,592,629,675,667,632,603,550,452
1915,468,484,534,533,562,634,679,698,642,598,511,478
1916,434,518,520,543,558,617,680,670,651,547,488,442
1917,422,467,467,521,537,643,708,666,669,618,536,496
1918,463,466,502,540,544,676,672,678,648,611,501,448
1919,457,454,481,537,597,636,672,675,641,563,506,476
1920,478,476,476,524,586,643,671,695,649,576,522,468
1921,450,488,521,525,554,660,690,675,644,609,540,494
1922,427,452,474,504,591,648,690,674,686,589,494,482
1923,449,463,505,524,582,592,671,686,672,596,550,463
1924,459,525,495,545,616,651,657,671,654,571,533,458
1925,475,507,508,536,594,655,699,669,625,588,520,498
1926,467,508,554,582,607,668,694,686,626,619,578,460
1927,469,498,498,532,587,638,682,670,633,609,538,467
1928,474,492,543,545,611,647,669,671,659,581,519,456
1929,437,456,497,505,594,652,684,697,647,617,538,517
1930,460,513,521,558,554,643,674,680,628,602,526,462
1931,479,506,532,575,638,642,725,704,649,592,496,460
1932,445,465,528,530,591,644,682,680,673,600,566,431
1933,430,451,512,526,549,614,694,690,634,633,545,475
1934,482,510,574,577,618,627,686,687,664,596,535,477
1935,459,484,462,539,582,652,674,683,660,581,494,478
1936,488,480,519,548,611,658,701,694,671,615,534,463
1937,391,458,505,522,596,654,699,692,665,622,541,499
1938,478,480,481,530,589,640,692,681,665,595,506,498
1939,467,448,495,566,595,639,686,687,691,609,542,507
1940,493,504,534,553,601,662,680,679,662,607,521,512
1941,490,506,534,523,615,635,690,674,645,583,547,486
1942,480,467,501,526,570,634,691,677,646,608,526,478
1943,473,503,526,548,601,617,677,666,673,594,543,487
1944,474,462,512,509,584,616,661,669,662,610,504,490
1945,460,484,467,538,571,644,703,674,670,609,515,484
1946,457,454,496,545,578,632,680,677,663,572,495,471
1947,439,501,533,564,614,656,671,672,668,601,488,463
1948,500,461,478,520,566,636,665,670,650,599,516,432
1949,385,440,490,560,585,650,668,661,666,577,572,458
