Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,546,606,605,655,733,811,820,823,789,735,638,556
1896,585,638,626,601,700,816,823,836,768,743,605,599
1897,555,558,558,698,738,790,854,840,800,687,625,586
1898,540,605,611,700,697,836,855,854,791,753,663,586
1899,595,620,606,677,692,791,845,799,847,704,633,580
1900,588,625,670,650,768,818,858,823,801,732,688,604
1901,571,597,655,659,713,823,864,852,789,761,672,614
1902,568,588,596,657,706,814,862,836,831,724,618,571
1903,569,555,592,645,718,818,825,851,818,782,642,606
1904,582,569,583,654,744,805,827,842,821,720,678,582
1905,573,597,626,668,686,762,854,832,815,770,655,596
1906,599,606,598,641,668,776,897,850,825,782,628,554
1907,526,609,576,658,698,736,818,806,762,717,648,596
1908,579,550,617,670,684,755,851,813,806,719,658,558
1909,570,566,564,669,681,762,824,832,800,716,615,537
1910,522,562,634,689,752,764,824,824,780,750,639,602
1911,573,538,590,611,682,744,839,811,776,738,661,569
1912,565,616,569,604,716,796,827,833,802,726,672,591
1913,547,602,630,683,730,770,854,872,858,784,622,574
1914,572,601,662,672,716,779,832,813,785,738,714,545
1915,564,562,649,631,666,804,839,861,799,764,640,574
1916,500,612,630,676,696,770,852,823,803,650,626,543
1917,524,576,608,658,656,824,877,805,830,764,661,621
1918,581,568,600,674,678,840,826,836,771,734,610,559
1919,593,547,588,668,738,802,824,829,794,725,665,584
1920,600,582,585,658,741,791,835,847,791,709,635,555
1921,540,600,630,661,674,818,854,836,798,746,682,596
1922,530,536,582,636,746,800,847,837,863,718,612,572
1923,552,583,660,632,729,739,839,844,826,742,704,584
1924,594,652,622,680,772,822,820,835,820,707,669,556
1925,583,600,638,649,719,815,850,815,762,722,649,623
1926,596,607,676,689,761,829,862,847,780,760,702,568
1927,570,578,603,657,742,788,852,824,793,759,645,573
1928,590,614,648,684,746,806,822,831,824,718,640,561
1929,541,575,615,626,748,809,842,864,799,774,719,625
1930,545,629,634,689,682,804,833,840,765,754,667,598
1931,578,601,668,724,780,778,905,866,809,728,618,548
1932,538,569,655,668,726,798,848,848,834,750,711,542
1933,538,575,632,654,676,763,865,850,784,785,710,578
1934,597,608,707,724,766,760,850,844,834,731,641,585
1935,558,592,576,653,722,825,841,845,807,723,635,605
1936,592,569,646,677,758,814,869,858,842,759,691,576
1937,480,555,613,653,746,806,854,860,822,771,661,612
1938,581,566,571,647,726,784,846,839,817,723,653,605
1939,577,561,603,704,735,802,845,846,845,760,695,622
1940,575,592,648,676,739,818,835,830,815,753,657,620
1941,583,589,638,636,748,780,838,816,802,722,674,576
1942,582,574,635,637,704,792,846,827,798,756,654,589
1943,591,620,627,670,756,766,830,825,830,734,685,594
1944,583,559,649,626,720,747,805,835,824,752,603,606
1945,576,594,573,688,695,801,857,829,826,737,624,572
1946,580,568,613,684,705,785,834,829,825,715,612,567
1947,569,608,644,699,757,804,827,824,831,724,616,578
1948,640,575,590,626,696,773,818,824,810,733,658,526
1949,492,539,580,698,710,802,819,803,820,723,711,567
1950,520,600,622,688,718,767,840,843,801,747,678,592
1951,557,581,634,638,728,768,822,816,809,746,644,542
1952,529,583,568,656,750,740,839,832,834,746,634,558
1953,599,617,623,644,691,758,857,808,812,750,639,609
1954,559,646,581,685,742,782,860,794,806,750,657,567
1955,526,580,637,619,712,770,804,844,816,748,638,566
1956,550,556,633,646,710,803,815,807,828,703,702,627
1957,533,586,616,670,698,833,850,826,813,714,635,591
1958,588,605,572,665,740,782,820,857,855,786,674,659
1959,598,574,682,715,718,816,870,847,790,783,706,622
1960,547,579,642,677,728,830,858,833,818,730,610,576
1961,606,610,614,694,689,820,874,846,811,753,629,558
1962,583,549,580,707,698,786,816,848,789,732,662,601
1963,564,643,605,608,692,765,823,830,831,732,619,590
1964,563,621,608,657,686,772,837,836,798,769,599,569
1965,568,603,608,645,715,736,816,846,772,794,626,541
1966,561,563,635,722,729,805,817,851,807,760,630,562
1967,584,612,593,552,730,747,862,866,831,790,672,561
1968,576,621,647,688,722,811,844,823,820,731,624,542
1969,547,534,619,649,742,755,843,871,818,723,684,599
1970,581,626,647,648,759,784,850,834,843,719,643,541
1971,572,591,623,639,682,785,839,859,831,719,626,524
1972,551,611,678,674,743,802,853,843,785,698,594,528
1973,540,581,568,678,756,836,841,832,800,735,602,574
1974,551,597,601,661,722,801,838,838,827,747,639,562
1975,596,578,585,602,738,779,823,826,816,714,638,608
1976,632,598,619,640,754,820,836,809,790,754,688,630
1977,571,650,604,707,668,793,847,843,788,752,672,610
1978,578,586,639,626,761,791,836,844,825,773,616,550
1979,539,562,606,662,749,813,848,830,862,743,639,618
1980,591,619,615,673,691,766,837,818,801,776,684,632
1981,608,621,606,687,733,862,849,847,811,714,642,590
1982,546,611,579,650,722,742,824,838,797,744,606,567
1983,587,591,596,622,730,788,838,855,844,768,618,572
1984,595,610,670,664,791,793,872,857,882,712,603,541
1985,561,619,587,714,718,830,865,836,776,733,602,589
1986,624,616,661,672,747,802,826,841,752,746,691,597
1987,567,610,629,734,749,797,801,830,817,762,628,549
1988,579,657,681,686,729,787,869,834,814,743,633,579
1989,576,565,640,724,734,798,854,822,795,736,687,628
