Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,439,523,535,597,652,763,791,804,706,687,542,442
1896,481,543,535,510,599,749,835,792,732,668,489,490
1897,459,466,459,632,710,712,802,816,727,642,506,471
1898,432,503,525,624,625,733,816,816,742,640,537,465
1899,478,493,509,587,600,739,814,750,788,602,532,461
1900,493,507,581,567,649,746,814,769,717,599,535,480
1901,436,470,550,567,643,719,796,810,714,667,544,490
1902,457,485,503,560,626,748,797,805,786,638,497,450
1903,448,451,499,569,673,756,790,805,762,685,517,479
1904,464,438,462,580,706,761,798,814,751,636,552,461
1905,477,525,550,611,607,726,838,825,758,663,549,460
1906,473,507,502,609,624,683,864,822,759,683,528,463
1907,424,536,479,604,654,708,802,790,731,671,557,467
1908,476,485,561,632,608,726,855,818,776,632,562,434
1909,448,453,518,644,664,743,786,831,770,641,505,437
1910,410,453,584,639,709,726,845,839,749,678,520,491
1911,441,444,583,579,617,733,843,811,707,643,546,462
1912,467,517,512,547,649,717,771,781,713,604,520,465
1913,416,499,520,574,674,698,789,826,781,687,505,455
1914,458,503,610,584,688,719,819,836,721,637,568,424
1915,446,464,571,605,595,743,798,843,750,692,502,454
1916,380,518,554,623,623,723,785,803,760,630,510,426
1917,429,476,480,558,608,756,848,811,761,730,552,507
1918,497,479,536,621,660,829,799,809,734,667,514,450
1919,475,439,515,612,691,746,829,827,734,635,533,434
1920,513,532,503,571,680,734,788,836,728,589,503,440
1921,435,500,546,586,627,741,826,805,751,674,561,469
1922,433,441,482,572,672,768,848,798,806,622,508,442
1923,440,520,580,574,654,683,804,805,767,627,584,444
1924,468,536,530,648,734,766,822,810,763,594,519,420
1925,475,474,564,580,644,747,832,790,698,654,517,480
1926,460,505,636,636,681,809,842,811,738,667,565,461
1927,465,476,522,577,634,730,818,798,720,666,530,457
1928,466,520,552,570,718,737,819,826,772,646,517,446
1929,431,491,542,535,674,725,809,824,755,691,592,507
1930,411,524,579,600,622,752,819,809,716,658,561,472
1931,465,518,561,626,724,713,863,841,741,653,501,424
1932,425,483,554,563,642,769,798,815,828,675,571,422
1933,413,453,509,608,578,720,848,834,724,712,587,458
1934,503,527,632,660,686,727,806,834,785,648,529,482
1935,437,500,499,577,683,770,798,826,788,637,521,480
1936,479,487,574,623,693,732,819,833,791,708,592,476
