Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,302,336,347,394,455,513,548,548,479,439,337,286
1896,356,336,374,353,423,522,596,550,508,444,359,356
1897,315,316,307,407,489,510,548,550,503,429,352,305
1898,244,352,312,400,437,508,542,558,492,426,343,282
1899,328,304,353,384,408,499,529,502,498,412,405,316
1900,362,344,381,381,460,521,547,516,471,429,396,331
1901,299,326,360,363,449,491,542,561,483,460,402,317
1902,285,375,325,386,427,504,536,536,498,424,354,320
1903,310,233,343,359,448,516,507,524,482,445,397,313
1904,291,335,361,392,464,511,544,557,521,441,373,311
1905,344,339,375,399,420,485,550,533,484,392,325,265
1906,314,367,353,396,435,486,575,555,485,414,356,336
1907,300,392,348,414,438,482,538,527,480,466,350,341
1908,338,316,323,388,395,463,577,538,490,404,350,285
1909,368,343,339,384,417,504,523,517,503,430,366,290
1910,269,301,383,409,458,481,555,514,479,437,375,336
1911,306,266,359,372,406,494,566,504,450,400,329,266
1912,323,336,326,354,436,495,535,520,486,390,368,292
1913,257,276,311,375,446,495,561,569,511,426,383,303
1914,339,318,373,404,458,489,542,538,473,429,339,258
1915,299,346,370,406,432,481,550,548,479,410,344,326
1916,274,357,362,393,408,483,536,530,487,391,302,270
1917,216,293,280,370,407,480,568,552,492,438,365,336
1918,315,309,340,366,408,537,531,528,523,449,338,268
1919,287,321,327,389,452,475,549,531,488,377,310,283
1920,307,297,322,361,417,501,525,553,485,400,359,318
1921,311,321,374,365,418,508,542,517,468,436,347,323
1922,232,291,312,339,432,506,558,520,496,424,319,326
1923,295,277,330,380,437,463,534,532,518,421,364,285
1924,254,356,324,377,461,489,528,515,474,416,348,271
1925,315,356,343,397,458,509,568,522,464,398,343,318
1926,281,354,376,439,444,532,559,523,446,437,413,300
1927,329,348,342,369,416,503,538,515,466,420,395,284
1928,314,320,387,374,473,496,549,525,481,416,351,274
1929,275,272,342,347,431,495,538,535,466,429,323,366
1930,281,348,354,399,410,491,545,528,490,410,338,270
1931,311,347,364,401,485,508,580,551,478,420,320,295
1932,278,276,366,365,444,513,535,530,509,420,379,237
1933,261,248,355,370,402,492,567,550,470,457,339,327
1934,341,366,405,415,466,504,541,550,504,445,386,327
1935,295,330,304,398,437,513,536,544,498,414,320,304
1936,336,339,350,398,456,508,565,546,490,432,308,286
1937,192,294,359,370,442,508,569,536,494,443,386,340
1938,328,327,346,395,444,523,570,526,514,439,314,328
1939,300,272,360,410,450,490,559,549,513,422,333,351
1940,350,370,376,405,467,539,539,544,499,447,352,342
1941,349,371,367,378,463,492,565,539,467,412,377,342
1942,304,305,319,381,411,488,558,538,488,433,356,333
1943,303,330,364,412,444,468,553,508,512,428,353,317
1944,293,314,331,363,437,481,540,516,505,444,352,333
1945,304,337,319,371,444,510,569,526,496,469,370,327
1946,285,284,350,387,440,471,558,532,480,395,337,330
1947,257,343,372,402,475,501,514,514,495,447,330,298
1948,310,282,309,362,414,506,533,512,482,423,331,265
1949,176,265,354,396,452,509,540,516,503,397,376,274
1950,248,309,335,384,437,490,572,549,511,450,405,372
1951,308,325,324,399,451,511,540,539,512,419,363,299
1952,281,307,307,393,451,479,589,538,524,455,316,328
1953,364,311,330,368,407,474,553,530,527,419,390,322
1954,319,334,328,415,454,488,554,515,468,406,367,298
1955,256,274,321,342,437,497,526,529,493,428,343,353
1956,340,268,326,387,452,503,562,526,494,422,335,279
1957,244,344,372,391,452,526,545,507,512,436,338,324
1958,322,388,326,377,465,514,571,589,516,453,360,350
1959,344,316,353,402,426,517,569,537,496,451,323,271
1960,298,319,375,378,423,541,577,535,500,428,357,314
1961,308,347,345,378,415,536,560,571,476,427,333,303
1962,262,314,319,393,427,496,546,536,501,449,378,336
1963,254,401,330,354,467,498,523,531,531,457,369,312
1964,296,284,314,357,416,496,554,543,475,447,342,356
1965,324,309,345,410,427,492,545,558,463,432,381,272
1966,284,288,342,398,462,506,521,562,508,420,387,333
1967,312,319,330,326,435,506,572,584,534,431,391,265
1968,272,375,356,374,431,516,565,535,501,426,372,285
1969,295,305,320,370,466,523,563,540,518,408,350,342
1970,357,347,354,336,454,525,567,533,480,412,398,307
1971,306,304,326,363,431,493,570,565,487,395,343,268
1972,264,334,379,372,443,516,561,553,481,437,351,256
1973,281,351,325,383,476,524,563,532,495,422,375,348
1974,298,299,360,357,431,512,551,548,507,434,349,306
1975,283,318,341,326,435,501,549,530,524,417,332,316
1976,296,321,310,352,444,485,559,520,513,427,376,271
1977,263,327,312,392,404,548,551,566,501,434,355,352
1978,363,353,400,381,438,496,560,554,485,439,321,253
1979,285,317,362,375,456,491,552,532,516,457,346,318
1980,337,371,334,389,431,467,559,530,497,433,356,329
1981,344,336,353,397,455,539,544,549,516,413,395,361
1982,269,323,339,355,441,499,541,545,500,426,338,308
1983,326,363,377,363,442,498,521,559,517,452,371,350
1984,315,317,373,370,465,500,587,550,519,412,356,287
1985,282,306,313,407,428,541,581,524,478,416,312,298
1986,367,374,394,388,444,529,546,554,470,430,357,311
1987,285,324,348,405,477,525,524,546,502,465,366,311
1988,304,319,343,402,419,510,593,556,502,450,374,290
1989,258,268,373,417,437,522,538,526,490,418,348,293
1990,300,264,352,423,436,492,575,557,505,430,329,226
1991,287,357,322,363,414,480,575,536,530,465,372,305
1992,302,372,377,414,492,523,554,565,506,454,352,283
1993,276,311,396,384,450,499,537,535,496,456,326,302
1994,321,302,360,392,458,492,571,532,504,410,295,294
1995,366,360,350,370,441,490,546,538,511,430,395,350
1996,330,360,356,390,444,516,589,564,487,421,377,352
1997,324,328,368,394,488,510,556,545,512,416,391,307
1998,349,337,354,373,407,495,568,562,531,409,358,273
1999,314,312,324,367,425,492,527,535,516,439,384,304
2000,331,359,355,405,454,532,530,547,498,423,319,326
2001,292,304,374,354,497,515,554,553,515,459,380,327
2002,288,329,326,395,436,519,577,542,506,411,368,333
2003,376,316,364,352,444,529,590,548,528,456,338,332
2004,310,326,396,402,446,517,568,555,497,426,350,328
2005,317,352,367,372,456,475,591,559,474,425,369,341
2006,332,318,310,391,466,541,593,536,498,411,366,309
2007,267,335,374,387,454,505,566,551,482,414,371,291
2008,291,311,333,351,457,506,567,567,510,435,392,284
2009,318,328,336,372,478,509,567,549,528,419,350,284
2010,350,347,335,351,394,512,565,532,502,456,342,346
2011,313,293,347,364,406,494,553,543,534,444,341,287
2012,310,319,339,392,447,493,549,568,522,444,383,304
2013,271,300,365,409,461,530,586,545,504,405,368,277
2014,339,355,379,401,463,526,602,568,530,461,384,372
2015,354,384,398,390,457,561,582,561,521,481,326,306
2016,338,363,378,422,470,531,562,562,507,440,382,292
2017,298,351,376,388,465,542,588,598,528,421,389,316
2018,358,304,332,390,470,518,602,554,497,441,368,322
2019,342,288,348,428,442,534,566,573,501,398,373,342
2020,332,334,338,407,465,524,572,596,551,473,344,317
2021,330,326,328,396,468,557,610,579,528,426,393,313
2022,311,306,365,376,439,524,575,589,550,449,314,304
2023,309,288,302,376,465,513,590,582,506,448,372,359
2024,347,340,352,395,457,553,627,561,535,468,345,356
2025,320,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
