Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,465,550,564,638,736,838,866,859,794,712,582,487
1896,518,579,584,580,706,855,888,871,785,721,558,530
1897,474,492,507,674,757,816,901,890,803,656,579,507
1898,453,562,567,684,698,842,895,894,807,718,603,505
1899,512,553,577,671,694,844,924,846,876,677,593,491
1900,506,578,648,626,758,850,920,858,791,709,625,532
1901,503,544,613,643,715,844,913,906,803,747,642,555
1902,496,563,554,638,709,860,892,874,847,712,565,516
1903,487,485,567,626,738,848,873,897,822,768,604,543
1904,536,546,562,647,768,853,888,908,834,704,632,530
1905,542,570,604,660,694,822,922,903,842,742,606,514
1906,552,582,575,624,677,783,956,905,835,756,566,484
1907,475,577,546,663,714,775,888,859,781,700,615,524
1908,516,510,596,682,689,788,934,886,818,700,623,491
1909,537,510,538,678,721,818,881,890,816,691,578,482
1910,466,520,625,697,790,816,905,904,806,720,602,537
1911,524,494,584,631,699,820,912,866,768,714,613,506
1912,533,588,549,591,730,822,874,864,805,682,616,530
1913,490,555,595,666,754,779,888,903,857,757,593,505
1914,521,558,650,650,742,807,894,891,801,714,653,484
1915,506,528,622,632,661,829,890,909,810,766,605,522
1916,457,577,621,685,711,810,884,866,816,640,584,501
1917,466,543,566,641,671,864,944,901,845,784,641,577
1918,525,536,585,669,698,905,890,881,796,731,585,506
1919,545,508,550,669,764,843,918,907,816,690,615,529
1920,546,562,561,643,756,822,887,905,805,661,595,522
1921,505,564,616,660,694,843,928,890,824,746,643,544
1922,457,501,552,633,758,840,924,881,885,716,565,520
1923,500,549,634,615,740,764,892,881,834,710,655,523
1924,534,622,582,678,806,860,902,892,846,680,609,494
1925,521,572,614,644,736,837,919,869,772,698,599,541
1926,511,573,656,685,766,893,929,900,813,744,661,511
1927,525,544,578,651,745,835,924,879,784,746,592,515
1928,522,576,625,666,788,839,907,902,852,718,598,497
1929,480,534,595,618,773,819,905,920,828,759,676,577
1930,488,601,613,680,683,857,909,885,775,721,630,539
1931,530,564,637,724,805,804,972,924,803,721,576,496
1932,472,526,621,648,736,844,897,890,866,729,671,475
1933,459,522,602,658,672,811,946,907,809,789,657,518
1934,517,573,693,742,776,796,912,907,847,728,595,520
1935,501,539,541,634,734,870,889,910,854,698,584,551
1936,541,527,629,682,772,834,925,919,857,734,644,509
1937,415,524,587,640,770,822,919,913,838,747,623,555
1938,513,523,536,638,741,841,905,888,842,698,597,538
1939,518,506,589,712,756,842,912,915,833,726,663,582
1940,518,549,621,664,787,884,890,900,789,734,598,566
1941,529,551,605,617,746,799,909,845,798,687,634,521
1942,517,528,604,626,702,828,918,897,816,740,609,520
1943,528,573,588,658,766,784,893,867,859,723,635,531
1944,525,513,605,612,740,768,881,892,856,747,555,539
1945,495,546,537,677,709,828,930,887,848,721,578,511
1946,518,531,590,693,737,817,894,902,835,677,554,495
1947,481,564,623,692,799,820,873,856,867,702,562,508
