Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,457,500,499,538,614,650,684,688,669,613,544,482
1896,508,522,530,512,602,685,712,710,660,613,528,507
1897,474,458,469,567,604,659,707,731,677,570,536,469
1898,436,507,482,579,577,660,703,732,684,612,535,482
1899,488,477,502,555,563,647,700,675,698,587,550,502
1900,514,518,549,512,610,668,700,673,624,606,584,511
1901,474,501,532,522,580,651,714,724,635,614,554,513
1902,488,487,484,536,576,658,688,684,680,590,514,484
1903,496,443,492,538,585,648,684,705,666,622,567,498
1904,475,499,512,542,597,662,690,728,690,611,574,507
1905,519,519,537,549,564,628,698,707,675,618,534,485
1906,491,527,512,530,561,650,730,702,678,634,515,494
1907,450,542,491,549,573,626,701,674,643,610,550,506
1908,491,469,516,558,555,618,714,698,666,575,534,472
1909,486,469,474,540,560,639,680,711,658,600,525,462
1910,454,473,532,575,610,632,704,697,681,613,537,506
1911,492,443,520,522,566,623,698,689,642,590,538,457
1912,500,505,465,495,577,635,670,669,651,573,557,471
1913,447,465,489,528,574,623,693,709,693,608,542,473
1914,487,502,547,555,573,640,686,688,660,620,583,456
1915,472,477,534,543,571,655,696,721,654,610,533,487
1916,445,514,544,558,578,633,686,687,653,548,513,446
1917,433,466,479,521,544,675,733,703,689,635,556,523
1918,473,477,519,550,561,695,699,707,688,644,529,469
1919,498,452,482,549,593,662,714,708,664,571,526,494
1920,493,492,484,524,586,642,708,716,656,565,526,476
1921,464,489,524,520,548,648,722,708,666,624,556,520
1922,446,464,478,512,595,664,711,724,711,597,509,508
1923,490,476,518,526,604,610,694,694,675,598,569,490
1924,479,536,487,536,617,668,692,693,679,570,547,468
1925,480,508,518,538,595,661,728,694,647,585,538,524
1926,486,521,554,577,615,672,709,718,650,620,580,471
1927,487,498,499,536,594,641,721,701,648,620,565,474
1928,504,501,535,553,617,647,698,703,689,590,540,482
1929,457,453,495,509,607,655,718,749,674,638,562,537
1930,471,523,526,570,562,655,717,721,644,610,564,490
1931,498,510,558,588,640,664,767,745,674,617,509,460
1932,442,476,536,547,594,646,691,696,676,607,592,456
1933,448,461,518,527,552,632,712,708,641,638,576,494
1934,507,518,588,592,633,622,720,715,688,617,548,509
1935,478,503,470,540,578,657,698,726,687,601,518,500
1936,502,486,531,558,614,672,738,730,683,616,572,491
1937,387,468,504,543,602,659,718,721,697,626,550,527
1938,513,482,492,542,593,643,702,723,707,601,533,526
1939,480,442,497,576,597,650,709,725,708,627,575,537
1940,509,502,541,567,630,665,701,707,666,626,543,526
1941,495,514,530,525,628,638,707,693,645,590,563,490
1942,497,469,504,533,586,645,723,707,658,618,555,503
1943,491,515,526,558,615,630,700,704,694,619,557,492
1944,481,459,512,524,588,612,672,707,677,612,519,507
1945,480,490,473,537,585,637,719,721,696,621,537,492
1946,483,468,505,565,585,660,714,720,698,582,514,500
1947,467,516,532,566,617,651,711,699,702,613,511,482
1948,508,466,476,545,585,639,690,697,683,607,540,457
1949,391,444,485,572,592,666,697,701,697,593,602,480
1950,439,503,519,568,580,635,715,700,662,638,584,545
1951,481,484,518,545,593,639,714,701,693,618,544,468
1952,451,491,468,545,618,614,706,717,700,635,517,478
1953,529,494,506,525,563,626,728,695,684,616,564,504
1954,477,548,490,566,606,640,737,689,677,606,574,495
