Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,518,593,586,641,731,793,806,811,805,720,649,589
1896,601,646,638,637,743,831,838,846,799,734,629,606
1897,556,544,566,702,720,790,850,866,807,678,666,597
1898,529,622,606,715,693,806,851,876,828,754,675,594
1899,591,593,602,681,688,777,857,811,849,701,657,609
1900,609,644,664,622,742,808,846,802,766,729,710,641
1901,558,585,655,644,676,787,865,866,770,739,669,643
1902,603,588,588,656,703,801,821,820,816,711,616,586
1903,609,553,590,644,699,780,836,838,790,775,701,636
1904,607,610,617,676,715,810,833,866,822,750,728,632
1905,624,603,630,642,671,756,832,849,824,758,637,606
1906,603,614,608,635,653,776,853,824,812,780,633,576
1907,519,654,585,643,690,747,842,806,792,706,680,618
1908,592,562,634,688,684,758,859,828,798,711,649,582
1909,560,555,565,653,667,759,807,846,788,734,650,545
1910,556,589,644,704,750,769,839,841,813,739,649,624
1911,582,531,600,617,688,752,828,840,781,733,673,574
1912,621,645,541,589,691,765,803,807,789,683,686,595
1913,556,560,610,655,698,739,819,845,834,744,641,567
1914,569,602,664,664,674,772,821,822,790,739,708,542
1915,565,559,649,636,685,801,830,872,786,763,662,591
1916,505,616,655,681,713,773,818,824,787,653,645,542
1917,520,564,608,638,649,834,863,838,833,775,688,662
1918,582,579,612,664,674,825,833,834,808,760,638,579
1919,628,545,580,667,696,819,850,850,801,705,661,613
1920,595,583,590,640,708,770,868,856,791,695,646,585
1921,571,606,631,652,645,771,857,848,810,743,692,617
1922,548,554,578,628,727,804,849,868,860,734,633,590
1923,596,587,650,613,736,740,838,829,800,733,695,592
1924,611,673,592,636,741,817,837,839,833,701,683,572
1925,605,616,640,642,705,788,865,841,791,698,656,636
1926,610,626,657,660,736,796,848,857,793,758,714,562
1927,593,575,600,649,729,766,865,843,781,753,678,564
1928,633,621,642,689,728,772,838,842,843,718,662,595
1929,561,560,608,615,744,801,856,894,798,775,723,668
1930,556,641,631,693,686,791,868,862,775,756,695,626
1931,610,604,699,716,760,798,903,877,814,741,616,552
1932,540,568,658,684,716,784,829,838,811,733,737,560
1933,553,584,648,641,676,771,850,844,776,767,728,607
1934,631,616,717,720,770,735,857,848,828,743,659,606
1935,572,604,572,642,689,790,842,859,823,731,647,620
1936,618,573,646,680,747,810,870,869,829,740,714,599
1937,477,568,616,673,717,794,855,860,839,768,673,638
1938,632,574,586,656,717,763,836,860,854,733,678,634
1939,582,550,598,698,720,791,846,866,837,774,708,665
1940,594,596,653,680,759,798,851,850,804,763,672,631
1941,581,594,626,620,756,768,851,824,784,712,692,580
1942,608,584,635,631,721,777,867,842,804,744,685,620
1943,597,626,616,668,749,772,844,844,843,745,699,581
1944,586,553,630,642,705,734,810,862,808,739,613,621
1945,595,589,576,666,709,758,852,859,831,736,664,594
1946,606,592,618,684,694,806,851,862,846,712,622,595
1947,595,635,642,685,738,777,872,839,845,735,635,592
