Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,396,407,413,436,498,507,562,565,532,506,440,375
1896,414,396,421,386,461,539,587,573,522,492,427,409
1897,391,372,373,432,487,527,563,595,547,462,407,340
1898,343,392,357,443,461,515,555,589,539,471,395,368
1899,386,360,403,428,438,517,544,539,546,473,443,395
1900,420,391,434,402,477,527,554,544,482,483,458,380
1901,391,417,410,399,484,515,563,583,499,488,439,383
1902,374,387,380,415,448,514,555,549,544,470,413,381
1903,383,333,394,433,470,517,533,573,542,470,434,361
1904,343,389,407,408,479,514,548,590,558,471,420,381
1905,414,434,445,456,457,499,563,564,525,478,432,364
1906,379,440,415,426,469,523,606,578,545,489,396,412
1907,381,430,397,455,457,504,560,542,494,515,419,394
1908,390,376,398,428,426,477,568,569,535,439,419,362
1909,411,383,382,426,452,518,553,575,528,466,400,380
1910,352,357,421,445,470,494,570,553,549,487,425,388
1911,401,354,439,428,443,494,569,537,503,446,402,340
1912,378,364,390,400,464,505,537,530,513,463,427,348
1913,337,371,369,400,449,506,567,572,552,471,443,379
1914,406,402,429,446,472,507,550,554,529,501,457,370
1915,378,396,419,449,458,509,560,570,523,458,404,384
1916,384,412,432,434,444,493,554,550,519,444,381,351
1917,346,369,350,405,438,516,603,567,544,494,423,383
1918,365,374,426,436,447,564,564,579,567,526,420,359
1919,368,360,384,430,489,505,577,566,527,438,392,375
1920,391,399,379,408,465,514,547,577,521,435,406,367
1921,357,372,418,389,451,525,586,569,521,504,420,422
1922,344,375,378,396,463,524,573,580,562,461,384,425
1923,384,365,387,439,471,480,550,559,550,464,443,387
1924,347,400,383,437,492,519,547,547,526,439,411,364
1925,355,400,397,433,484,534,590,546,502,472,420,411
1926,362,417,451,493,493,548,570,579,506,482,446,380
1927,381,421,397,423,460,515,576,559,515,487,452,384
1928,375,381,428,416,505,522,558,563,535,461,418,370
1929,354,345,382,403,470,510,582,603,550,500,401,406
1930,386,406,420,448,437,518,567,580,512,464,433,354
1931,386,416,416,460,519,529,630,614,534,493,402,368
1932,344,384,415,410,472,508,552,555,542,481,447,352
1933,344,338,388,413,428,493,573,572,505,508,423,381
1934,383,419,458,464,496,509,583,582,549,492,438,412
1935,383,401,368,438,466,523,555,594,550,472,390,381
1936,385,399,416,435,482,533,605,590,537,493,430,384
1937,298,368,392,412,487,524,582,581,554,484,427,417
1938,395,391,397,429,469,522,568,585,560,469,388,417
1939,378,334,396,454,474,508,572,584,579,481,443,408
1940,424,409,430,454,500,532,550,563,527,488,413,422
1941,408,434,435,430,501,509,563,562,506,469,434,399
1942,386,354,374,435,451,514,580,572,513,492,425,385
1943,384,404,436,449,482,488,557,564,545,493,416,403
1944,375,365,394,406,471,490,534,552,546,485,426,392
1945,364,392,370,409,460,515,586,582,562,506,409,389
1946,360,344,392,446,475,514,577,577,550,453,407,404
1947,338,397,421,446,496,525,550,559,560,490,388,371
1948,374,351,364,431,454,511,546,552,536,489,399,350
1949,303,342,383,447,477,534,562,557,550,460,460,366
1950,338,393,399,450,462,498,588,554,538,497,463,424
1951,373,368,392,447,466,512,575,562,552,480,426,374
1952,359,383,378,441,485,488,566,578,556,504,407,379
1953,418,357,381,420,435,492,590,555,541,473,445,374
1954,373,417,392,459,484,513,601,555,527,465,447,384
1955,351,354,398,400,468,506,549,588,555,485,421,417
1956,397,338,388,428,483,520,567,548,554,475,425,387
1957,376,440,421,433,475,550,580,577,541,492,410,410
1958,387,430,395,445,497,523,564,614,568,532,428,413
1959,404,377,428,476,474,540,613,591,560,512,449,412
1960,360,387,433,443,478,545,589,570,567,482,420,373
1961,398,400,404,436,458,540,595,603,536,487,416,386
1962,377,401,376,455,458,515,557,574,546,490,436,394
1963,365,452,387,407,490,520,558,579,588,523,443,381
1964,362,358,382,425,452,510,570,588,531,532,411,413
1965,396,375,412,438,468,504,555,595,522,512,463,386
1966,358,362,415,459,498,533,564,597,553,501,455,401
1967,382,388,416,379,479,504,597,623,594,506,480,368
1968,375,446,415,431,480,528,588,566,553,497,440,359
1969,424,386,389,442,498,536,586,597,569,467,455,397
1970,406,413,416,400,483,532,590,591,530,487,442,382
1971,379,382,397,412,460,516,581,614,564,458,408,358
1972,351,395,440,426,483,547,591,594,556,495,418,370
1973,361,414,387,427,490,545,568,580,537,482,416,396
1974,389,368,423,421,482,536,586,579,574,506,429,376
1975,374,381,398,397,467,517,570,558,571,472,408,381
1976,374,403,396,410,492,528,588,555,592,518,461,381
1977,395,403,368,437,455,536,571,605,552,508,446,454
1978,428,416,463,434,485,536,570,577,564,529,412,355
1979,382,372,417,433,490,537,569,575,578,502,414,404
1980,445,442,408,444,467,506,589,587,550,501,432,418
1981,420,417,422,459,500,575,592,597,568,478,450,416
1982,375,425,411,436,495,517,569,593,574,492,425,385
1983,409,421,441,424,488,537,572,617,609,537,448,420
1984,409,388,425,437,506,542,622,622,625,490,421,386
1985,381,381,388,456,478,536,609,569,543,499,425,400
1986,437,430,448,445,482,541,568,593,523,490,448,394
1987,367,396,408,461,509,540,548,573,560,550,443,368
1988,387,404,421,449,476,516,599,584,549,527,437,387
1989,359,381,432,482,482,533,586,570,549,497,443,387
1990,382,370,425,476,479,544,602,590,568,511,432,353
1991,394,423,392,436,457,509,578,582,576,530,443,403
1992,390,442,444,486,536,537,596,611,570,523,436,373
1993,407,412,450,459,504,544,572,584,556,514,436,389
1994,397,392,444,457,483,550,586,611,564,488,380,388
1995,425,457,439,435,475,517,576,595,577,510,468,416
1996,406,440,428,463,501,541,603,603,563,490,453,423
1997,422,396,434,453,541,547,572,605,603,503,460,392
