Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,929,242,286,64,35,2,0,7,0,79,155,73
1896,378,15,427,118,36,0,15,20,8,199,170,224
1897,484,514,350,2,7,0,6,20,23,200,26,58
1898,214,84,129,37,152,0,8,13,32,7,13,102
1899,350,48,259,41,19,33,0,1,1,154,177,151
1900,219,9,135,130,182,0,7,0,8,38,602,3
1901,422,540,52,109,107,2,2,18,22,176,70,4
1902,192,374,358,66,12,7,17,0,0,55,271,266
1903,179,217,631,339,13,1,0,9,34,5,4,5
1904,41,339,485,139,14,0,2,29,35,51,1,191
1905,440,892,654,84,157,0,4,7,18,15,289,51
1906,328,321,965,143,143,3,6,13,10,4,151,676
1907,933,220,596,36,9,17,0,1,0,295,10,138
1908,536,461,88,69,32,0,5,30,103,56,104,149
1909,894,609,434,9,7,6,8,44,13,29,233,775
1910,329,29,275,38,0,0,17,1,35,74,80,48
1911,857,441,581,96,12,3,9,0,52,24,17,144
1912,61,1,891,255,96,5,4,13,0,95,59,6
1913,262,697,85,57,25,29,20,30,8,4,293,211
1914,1128,669,112,156,36,16,7,1,3,75,46,472
1915,687,785,125,254,157,0,0,19,11,0,96,344
1916,1439,165,198,35,17,0,8,27,72,232,17,478
1917,409,322,52,121,64,1,19,5,1,4,61,8
1918,124,697,853,12,32,13,18,21,56,57,241,230
1919,77,322,306,47,82,0,20,7,86,68,110,216
1920,80,452,585,89,42,1,3,10,6,111,80,133
1921,445,131,263,46,181,4,13,21,65,114,23,1008
1922,539,423,266,60,106,2,14,8,1,49,193,431
1923,256,145,68,262,6,3,6,7,43,66,73,146
1924,71,18,453,184,2,0,0,0,1,65,97,224
1925,44,106,264,250,87,33,2,10,0,197,107,196
1926,182,408,70,571,29,2,2,5,1,23,344,360
1927,121,1074,296,104,30,5,6,2,2,247,112,372
1928,46,282,194,34,95,2,0,1,0,45,165,297
1929,200,183,206,192,3,9,1,20,59,4,0,3
1930,622,115,425,81,155,2,4,10,7,29,226,1
1931,363,443,16,239,104,9,6,42,19,54,303,710
1932,250,810,21,79,15,15,0,0,20,76,4,262
1933,786,11,21,104,72,20,7,13,0,43,21,461
1934,238,271,26,3,8,35,4,23,14,209,251,397
1935,422,311,327,251,17,0,5,48,9,34,78,116
1936,51,880,193,86,9,6,15,22,5,266,25,777
1937,343,775,534,41,33,2,10,0,1,6,8,320
1938,241,783,981,130,27,2,9,10,15,23,6,637
1939,343,219,231,72,17,0,1,6,127,41,75,89
1940,483,500,124,203,5,0,0,0,4,145,61,797
1941,419,848,959,486,39,4,9,28,6,216,94,575
1942,87,138,171,300,7,0,0,28,0,76,42,147
1943,1080,349,404,156,5,3,0,1,12,65,16,689
1944,144,846,197,122,12,9,0,0,1,4,528,118
1945,39,424,475,28,10,4,5,52,19,69,45,600
1946,53,143,440,66,14,0,25,3,15,109,618,309
1947,58,65,137,39,25,2,0,23,10,24,22,214
1948,4,210,292,159,21,22,2,0,1,61,1,317
1949,345,193,207,8,93,2,0,1,0,16,159,299
1950,308,216,137,86,19,2,14,0,23,40,153,31
1951,289,133,83,228,23,0,15,27,11,84,138,624
1952,959,58,776,192,0,1,12,1,30,1,390,436
1953,133,48,109,142,25,4,1,6,0,5,172,24
1954,592,276,507,24,5,4,16,2,5,0,171,151
1955,523,170,51,181,135,1,11,18,0,0,140,268
1956,602,86,1,277,86,0,8,0,0,40,0,38
1957,625,196,152,153,130,22,3,4,2,208,83,384
1958,215,710,684,526,36,1,4,18,55,19,37,5
1959,208,529,1,62,4,0,3,10,17,19,23,201
1960,364,326,67,178,14,0,4,0,16,33,363,35
1961,139,12,117,17,7,1,1,28,3,9,235,215
1962,316,1107,175,2,53,6,0,0,1,28,1,26
1963,76,430,269,225,17,21,0,21,125,104,299,12
1964,223,34,253,129,48,13,3,4,8,68,239,251
1965,84,69,185,549,4,3,21,16,47,1,735,543
1966,144,154,50,4,10,2,5,1,17,30,306,706
1967,428,19,271,490,20,11,7,18,52,0,473,225
1968,105,94,279,100,16,2,25,6,0,81,75,169
1969,1376,1072,139,124,36,6,14,3,6,6,182,30
1970,194,272,379,29,1,3,3,17,0,7,482,468
1971,98,98,57,96,100,2,3,7,6,72,43,676
1972,7,25,0,24,17,23,1,14,13,77,395,186
1973,432,729,429,9,9,2,0,5,1,25,223,103
1974,745,13,360,57,11,1,15,3,2,140,26,415
1975,27,299,493,227,9,4,2,2,16,43,75,38
1976,1,580,186,145,20,14,14,7,132,58,73,91
1977,373,43,186,5,185,4,1,61,1,12,18,492
1978,879,914,1038,249,11,0,1,3,94,13,273,270
1979,688,385,575,3,16,2,17,8,14,98,54,102
1980,871,1190,422,112,55,0,5,0,0,15,0,97
1981,292,226,500,67,18,0,1,3,7,59,199,67
1982,415,136,632,232,24,6,5,16,92,58,491,258
1983,622,600,983,394,27,1,0,61,73,156,341,370
1984,20,14,28,62,1,6,31,34,35,29,245,593
1985,116,144,142,13,6,3,16,0,33,46,495,99
1986,218,569,503,86,2,0,15,6,92,51,122,100
1987,227,184,231,28,15,8,8,10,17,294,210,331
1988,270,205,61,344,16,4,1,15,6,0,113,404
1989,87,226,113,14,26,1,0,2,52,49,30,7
1990,296,275,50,74,82,13,7,11,16,2,58,38
1991,162,337,1119,8,2,4,15,7,17,57,13,356
1992,280,848,562,29,26,1,22,23,1,122,1,536
1993,1382,890,307,1,14,41,1,1,0,26,129,136
1994,117,531,286,110,57,0,2,8,9,58,128,138
1995,1538,232,879,115,87,40,6,2,5,0,15,147
1996,217,655,219,68,15,1,5,2,1,181,267,439
1997,578,54,2,11,4,4,5,1,85,11,296,473
1998,387,1656,415,229,187,11,2,17,38,15,156,90
1999,224,99,218,268,7,26,20,2,10,0,55,12
2000,128,698,218,238,6,4,0,15,13,148,15,4
2001,500,636,284,164,5,0,7,0,2,21,227,155
2002,82,25,72,36,10,1,1,0,14,3,276,359
2003,9,545,327,202,121,4,14,15,4,12,125,175
2004,56,545,69,49,2,1,1,3,3,411,93,614
2005,1003,870,231,121,61,1,15,11,24,142,54,77
2006,266,256,376,354,77,3,10,2,5,22,16,95
2007,106,189,26,70,2,0,2,6,45,30,97,221
2008,864,228,13,6,49,0,4,5,1,7,226,351
2009,49,496,46,15,6,9,1,2,2,123,28,371
2010,757,442,67,219,9,1,5,1,5,223,141,1062
2011,102,360,465,29,73,13,14,5,14,88,243,77
2012,115,84,264,234,4,0,9,18,8,31,106,279
2013,146,80,107,6,47,1,14,12,11,53,83,44
2014,9,279,176,73,8,0,5,26,15,15,74,517
2015,111,88,80,36,98,12,42,2,80,49,64,125
2016,452,74,214,72,45,0,0,0,20,71,140,451
2017,873,646,47,23,64,1,3,28,22,2,8,2
2018,277,45,403,8,20,0,8,1,0,66,195,227
2019,588,798,293,20,156,3,2,0,10,0,309,503
