Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,436,504,538,610,707,778,821,813,748,656,528,444
1896,492,509,559,575,705,830,858,827,748,662,527,483
1897,454,460,492,630,717,779,841,846,758,610,537,436
1898,403,520,509,656,676,791,850,856,777,653,528,443
1899,463,490,538,631,655,787,844,783,798,619,547,467
1900,486,518,591,570,710,796,844,786,702,640,565,475
1901,451,505,554,590,683,774,860,848,732,667,568,484
1902,460,499,516,607,679,794,819,811,768,644,522,448
1903,458,428,526,589,685,782,814,834,739,660,558,461
1904,454,518,553,618,712,790,825,835,750,634,555,467
1905,495,509,560,608,650,756,842,834,764,644,527,440
1906,468,539,545,583,654,765,866,818,758,666,513,461
1907,432,540,520,622,659,738,828,796,730,644,537,478
1908,466,467,543,621,644,737,851,815,737,605,540,444
1909,482,474,508,611,665,789,826,825,741,636,527,417
1910,430,478,582,644,730,773,849,835,772,656,547,480
1911,472,449,552,586,660,764,842,813,732,625,517,417
1912,471,500,499,561,676,778,808,797,724,604,538,435
1913,420,469,512,595,670,738,819,828,772,643,553,453
1914,477,495,572,614,689,764,832,828,751,653,568,414
1915,437,474,548,607,651,772,826,834,742,661,525,458
1916,421,510,580,628,665,769,828,800,736,586,504,417
1917,402,471,488,580,631,796,869,831,765,679,552,496
1918,450,476,544,603,649,837,834,810,762,663,512,435
1919,454,456,501,622,710,786,853,840,755,592,507,454
1920,474,500,513,586,689,765,844,825,734,600,518,440
1921,440,502,564,589,646,788,858,823,751,670,551,489
1922,410,458,505,566,695,798,853,831,796,644,499,483
1923,472,475,534,589,708,728,835,813,750,622,548,451
1924,442,535,508,600,726,808,834,823,769,616,542,434
1925,446,523,553,611,704,774,860,810,721,617,516,487
1926,451,517,579,634,703,813,844,828,743,668,568,440
1927,471,504,530,606,688,774,852,819,734,657,561,440
1928,472,499,572,612,715,780,843,823,770,638,533,443
1929,435,455,539,576,704,770,847,852,748,674,545,509
1930,433,538,551,641,640,784,846,827,726,629,541,434
1931,468,506,566,641,728,773,894,842,744,648,498,424
1932,416,477,561,606,683,771,838,830,784,646,573,424
1933,418,429,550,582,634,768,872,840,765,704,561,474
1934,487,533,638,676,738,741,858,845,766,667,553,481
1935,455,509,506,609,670,812,831,836,783,638,505,468
1936,473,484,574,645,722,803,862,848,760,653,549,452
1937,344,466,530,603,713,784,859,857,795,675,561,504
1938,487,475,508,611,689,781,846,835,789,634,497,490
1939,461,433,547,652,711,782,856,855,746,640,568,509
1940,490,498,578,632,744,826,842,849,745,664,519,486
1941,471,516,540,564,707,750,841,797,714,607,548,463
1942,469,463,527,598,670,778,873,838,751,662,557,489
1943,472,514,565,638,715,742,843,822,792,661,542,461
1944,446,449,522,580,682,719,817,831,772,667,510,470
1945,459,490,496,607,686,763,865,828,780,667,529,449
1946,461,471,536,650,697,792,843,844,775,605,496,489
1947,446,530,568,628,735,770,842,811,800,661,498,446
1948,482,469,490,611,680,768,832,825,777,658,515,422
1949,343,432,514,646,681,793,845,814,794,635,598,444
1950,418,519,556,654,692,768,849,836,750,695,584,528
1951,461,484,539,615,697,773,858,823,793,651,523,438
1952,418,484,483,609,726,740,842,850,782,710,505,451
1953,510,488,544,603,626,752,870,821,786,651,558,464
1954,462,551,512,661,727,767,862,803,768,668,571,455
1955,411,448,537,578,667,766,821,842,779,684,538,490
1956,493,453,552,598,691,795,833,808,803,638,527,478
1957,432,541,558,608,656,812,851,824,769,621,505,480
1958,478,522,494,599,731,777,836,859,784,698,542,514
1959,491,471,580,665,680,817,887,826,752,680,558,480
1960,424,472,585,635,697,832,868,841,796,654,531,462
1961,482,515,547,633,679,824,869,835,738,650,513,452
1962,463,491,498,670,661,777,835,846,784,670,572,487
1963,437,565,529,566,708,742,838,824,781,683,545,472
1964,437,472,512,592,671,763,852,836,754,713,501,483
1965,482,504,528,590,672,732,832,834,721,697,559,453
1966,434,457,561,647,726,788,841,856,772,659,556,478
1967,473,516,558,521,689,746,870,867,770,684,583,432
1968,462,550,558,601,696,797,844,798,769,662,551,426
1969,490,458,523,615,721,756,850,873,796,625,550,482
1970,466,524,541,566,710,790,868,861,751,638,551,448
1971,467,506,550,593,645,771,863,849,767,611,523,424
1972,445,522,621,622,701,789,873,824,749,619,506,434
1973,430,489,495,595,723,806,853,831,753,658,531,485
1974,440,493,561,603,710,820,842,826,802,664,544,450
1975,467,482,515,536,684,779,846,823,786,642,534,490
1976,484,510,531,579,718,779,843,792,742,653,570,464
1977,458,535,501,636,624,808,853,838,759,683,570,515
1978,475,505,570,583,690,802,851,831,746,707,520,427
1979,419,473,536,614,702,796,844,807,808,678,522,492
1980,505,530,524,612,651,768,863,833,772,674,562,523
1981,508,523,544,650,704,840,863,860,790,629,571,506
1982,456,521,528,605,699,759,831,836,750,638,513,456
1983,484,506,538,557,696,770,826,811,794,667,547,491
1984,499,508,574,603,758,782,850,835,800,621,527,438
1985,458,486,527,654,706,819,868,832,713,654,517,481
1986,525,533,595,619,716,816,822,861,714,638,562,472
1987,449,505,534,666,703,809,811,837,777,697,535,429
1988,459,525,568,614,696,783,870,831,767,724,554,462
1989,447,489,599,692,710,796,872,817,769,653,571,489
1990,463,480,579,651,691,806,861,824,780,681,553,420
1991,464,561,498,602,665,760,842,830,790,708,558,473
1992,467,527,545,663,738,778,830,852,795,688,526,430
1993,452,484,584,642,717,776,823,828,771,670,526,467
1994,495,473,591,635,693,835,870,869,783,644,474,467
1995,465,569,549,602,654,755,850,862,805,685,612,498
1996,503,539,574,650,726,812,883,866,770,654,560,489
1997,483,510,611,625,770,780,831,854,788,650,556,451
1998,484,471,542,572,631,738,864,867,757,638,542,472
1999,503,511,549,567,696,781,834,827,785,703,585,490
2000,507,515,558,662,746,822,849,847,775,645,501,504
2001,453,468,582,598,774,822,837,864,806,706,570,454
2002,467,526,541,642,707,822,880,846,790,653,568,464
2003,545,497,571,576,715,810,888,850,814,733,508,467
2004,474,474,636,638,724,806,860,839,769,640,513,476
2005,485,499,556,600,718,772,882,844,752,664,578,493
2006,484,528,503,602,743,838,890,838,771,648,576,471
2007,449,519,608,644,732,813,879,865,762,658,590,444
2008,446,505,572,627,687,821,868,863,801,682,592,459
2009,512,492,555,611,771,759,887,843,812,640,567,449
2010,479,506,543,582,657,799,874,838,793,663,534,500
2011,486,475,560,619,662,777,846,861,799,683,523,452
2012,507,511,559,639,742,811,846,872,813,688,579,474
2013,454,494,611,657,723,835,876,838,777,636,556,479
2014,538,557,594,648,726,821,874,828,803,710,577,490
2015,515,583,627,635,677,837,827,870,808,702,520,454
2016,472,562,594,640,691,849,879,857,765,688,577,477
2017,460,528,608,645,711,836,890,862,763,688,602,518
2018,531,510,554,665,713,822,894,871,811,661,565,481
2019,484,446,547,653,649,803,858,865,771,643,568,463
2020,494,529,530,629,741,797,867,888,818,721,563,485
2021,487,523,535,662,730,857,893,865,808,641,616,478
2022,492,510,586,651,721,825,881,876,817,699,514,478
2023,455,466,502,634,703,754,900,844,765,683,556,511
2024,485,505,539,622,717,849,916,865,810,728,528,528
2025,472,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
