Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,504,608,645,736,845,934,949,941,887,776,636,559
1896,591,641,682,696,836,982,980,960,878,787,628,583
1897,533,547,596,775,860,923,979,981,885,716,667,558
1898,494,648,639,801,802,943,993,990,925,807,666,550
1899,568,615,661,780,801,943,1011,933,970,744,667,576
1900,593,655,729,690,860,952,1000,925,846,766,688,604
1901,555,599,690,733,801,928,1009,992,883,807,705,628
1902,582,623,638,748,824,956,963,952,917,786,626,556
1903,577,533,642,711,824,930,969,983,868,809,687,588
1904,572,641,667,750,848,950,966,968,882,772,706,588
1905,598,594,657,718,767,911,996,978,912,798,627,548
1906,588,638,656,697,768,905,1003,950,893,808,629,544
1907,512,656,620,739,788,872,970,940,880,744,664,598
1908,576,568,676,770,785,896,992,953,873,740,663,557
1909,576,568,611,744,801,922,966,953,876,779,657,505
1910,535,607,723,793,888,936,993,984,919,793,670,593
1911,572,555,658,708,804,917,981,970,873,770,648,537
1912,601,647,596,667,809,927,940,938,872,717,672,561
1913,539,580,642,738,819,875,944,958,908,793,662,560
1914,571,608,706,741,820,904,965,968,884,776,701,505
1915,536,566,673,723,775,921,959,988,877,826,658,574
1916,500,628,708,762,805,923,972,938,875,709,643,529
1917,495,587,626,716,758,960,1001,969,904,826,692,637
1918,575,589,653,736,782,980,972,944,892,783,628,544
1919,585,563,617,763,842,953,987,984,890,724,629,572
1920,578,596,634,714,834,909,996,960,875,728,638,555
1921,542,632,687,732,768,932,994,960,905,803,693,584
1922,514,560,626,698,846,948,994,964,947,788,626,580
1923,588,597,668,705,856,876,976,954,881,760,663,546
1924,569,682,618,726,878,968,984,974,923,763,681,543
1925,579,654,695,740,843,913,996,952,866,741,637,599
1926,579,635,700,744,838,959,987,970,895,817,704,535
1927,590,608,652,741,834,918,996,958,875,803,687,542
1928,602,625,700,755,855,928,991,972,929,778,661,553
1929,551,578,675,706,854,924,987,984,886,819,702,653
1930,530,671,671,777,765,941,987,964,872,775,671,574
1931,589,603,709,780,871,913,1030,966,882,781,610,524
1932,520,573,692,750,819,921,981,978,939,779,716,531
1933,525,552,687,714,771,925,1016,986,918,846,708,593
1934,615,652,788,826,889,885,1002,979,914,805,675,580
1935,553,614,626,731,804,970,975,971,926,774,634,580
1936,591,590,708,790,870,950,994,984,912,783,677,557
1937,439,581,653,742,860,930,998,1004,942,823,695,612
1938,608,576,615,741,830,926,985,970,932,768,631,595
1939,565,541,675,791,855,932,999,994,864,777,696,634
1940,589,598,708,760,889,976,990,997,878,802,642,587
1941,562,610,650,677,842,894,986,930,864,723,677,560
1942,583,579,663,718,813,932,1022,981,911,802,694,620
1943,589,638,678,768,856,890,994,965,945,799,684,554
1944,556,551,646,709,822,862,973,991,925,812,611,588
1945,579,600,611,750,822,909,1007,959,920,792,658,557
1946,582,604,669,793,835,945,977,983,922,733,604,595
1947,574,664,699,760,881,910,996,951,949,793,619,554
1948,622,590,614,745,826,912,985,980,930,790,649,538
1949,429,552,636,788,815,938,990,966,946,774,746,564
1950,538,654,693,798,836,923,981,992,886,845,720,659
1951,578,608,674,744,838,925,1001,966,952,786,644,539
1952,517,603,590,736,876,890,986,994,926,871,621,550
1953,632,623,683,736,756,905,1006,968,945,791,684,591
1954,576,688,630,804,876,910,998,949,924,820,702,567
1955,506,568,674,714,806,916,960,971,930,833,668,599
1956,604,578,702,728,831,949,973,963,955,771,675,613
1957,524,655,678,736,784,960,996,961,916,731,617,597
