Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,266,74,74,21,14,2,2,22,4,35,61,32
1896,118,6,126,28,18,2,39,76,17,102,41,66
1897,185,172,102,4,6,1,19,55,54,93,14,45
1898,72,24,50,13,49,5,26,37,19,2,19,68
1899,85,13,76,6,11,21,3,12,3,54,57,40
1900,50,5,36,58,57,2,56,2,17,25,163,5
1901,137,239,19,25,46,2,3,54,20,43,21,4
1902,48,103,94,20,5,4,24,15,1,12,78,82
1903,72,66,124,56,5,2,3,19,46,12,2,6
1904,71,73,94,40,22,0,28,93,31,23,1,43
1905,147,272,214,31,39,0,2,32,34,4,112,33
1906,82,131,243,74,26,7,31,74,7,3,85,260
1907,205,80,196,15,9,9,5,8,1,138,4,47
1908,153,144,39,17,16,1,23,89,102,29,15,65
1909,193,163,107,5,2,5,21,149,45,17,86,194
1910,123,8,49,10,0,0,52,19,35,39,63,28
1911,214,159,96,24,6,3,46,6,61,29,9,40
1912,15,0,234,78,27,6,37,29,2,68,23,12
1913,59,152,31,12,20,17,82,94,23,0,115,39
1914,287,176,28,83,13,17,29,6,20,31,26,130
1915,242,202,46,77,31,0,20,43,14,0,29,70
1916,426,54,62,10,14,0,42,42,43,60,5,104
1917,136,67,27,40,35,0,57,58,4,1,24,1
1918,29,121,226,7,21,19,63,52,70,41,44,108
1919,22,83,102,17,16,0,67,24,78,28,56,45
1920,104,209,131,17,26,14,14,60,13,59,18,37
1921,151,26,67,6,65,2,35,84,71,60,6,365
1922,171,99,76,22,32,7,52,86,15,16,59,110
1923,73,34,22,67,4,3,27,36,66,34,84,76
1924,11,4,96,50,3,0,8,3,9,23,19,88
1925,10,26,76,79,9,24,36,43,5,97,31,41
1926,51,79,24,133,16,15,8,42,20,26,124,165
1927,27,300,69,26,7,4,46,26,13,81,37,153
1928,17,71,42,7,46,1,0,3,0,16,34,79
1929,51,45,44,55,5,9,7,74,60,2,0,4
1930,168,52,117,21,61,3,6,31,4,19,45,0
1931,72,204,8,85,12,22,12,159,36,31,93,165
1932,48,277,7,14,19,22,7,8,39,65,1,93
1933,211,5,11,31,24,7,16,26,1,27,15,104
1934,48,47,11,2,3,15,32,57,7,74,40,121
1935,138,178,65,54,17,0,21,64,29,10,17,69
1936,17,215,39,20,1,9,89,54,9,122,31,235
1937,86,156,144,12,12,4,28,3,17,1,2,90
1938,47,210,287,23,26,11,35,30,32,18,2,209
1939,129,59,76,53,10,1,27,44,159,12,52,15
1940,115,165,44,50,11,1,0,3,48,35,20,262
1941,164,245,244,135,10,2,19,107,10,117,48,179
1942,27,36,53,52,4,0,12,75,2,18,7,29
1943,337,85,125,70,2,4,7,20,41,40,6,246
1944,44,267,60,31,9,2,0,0,1,9,183,40
1945,35,144,133,10,10,4,30,145,18,92,9,167
1946,12,31,65,11,7,0,72,34,27,44,171,106
1947,12,12,29,25,11,1,1,44,5,30,8,105
1948,2,58,41,26,7,15,25,3,5,75,0,67
1949,236,62,57,5,30,4,10,20,4,12,37,61
1950,37,41,36,11,3,0,61,8,48,8,45,16
1951,77,17,13,63,32,4,43,85,23,42,45,168
1952,236,11,194,86,0,3,51,6,63,0,103,137
1953,16,18,30,29,20,1,25,26,0,4,18,9
1954,204,54,140,2,3,4,67,6,28,2,63,37
1955,167,21,3,23,32,1,64,111,2,1,21,73
1956,114,9,0,79,12,0,55,1,1,29,0,4
1957,166,40,37,40,35,6,14,38,4,103,39,71
1958,49,189,150,117,23,4,19,67,36,44,28,1
1959,43,125,1,5,4,1,22,44,44,25,28,149
1960,84,96,12,15,2,2,17,4,57,31,126,13
1961,41,5,26,7,4,2,10,101,4,8,55,74
1962,70,179,36,0,26,5,19,3,18,19,2,33
1963,46,107,59,33,8,20,0,66,138,89,71,3
1964,32,10,40,26,23,3,31,22,3,16,73,37
1965,24,17,65,143,4,7,49,49,9,1,225,245
1966,38,42,27,1,7,1,34,16,22,38,56,178
1967,97,3,32,83,7,4,41,77,88,0,134,93
1968,10,59,72,20,5,9,97,22,0,23,19,35
1969,318,270,42,18,35,21,50,14,43,6,62,11
1970,41,98,99,10,1,3,33,56,2,3,118,86
1971,13,19,9,14,51,0,15,68,14,21,12,143
1972,1,2,0,8,4,25,5,27,19,88,107,32
1973,94,168,145,9,20,4,2,28,0,7,59,18
1974,225,3,101,14,13,0,42,24,4,93,12,91
1975,7,37,83,68,4,4,17,6,61,18,13,9
1976,1,252,34,48,33,3,50,3,167,45,19,15
1977,103,9,41,4,63,12,8,174,12,16,7,168
1978,294,253,260,62,15,0,20,16,43,57,94,89
1979,221,90,173,1,13,0,86,86,13,17,5,29
1980,285,378,139,64,36,5,27,5,20,4,3,17
1981,87,48,174,17,45,1,7,28,40,36,87,9
1982,107,61,172,71,24,11,41,80,61,24,123,164
1983,146,178,333,59,3,2,2,209,62,72,57,130
1984,5,7,6,7,2,3,146,114,19,9,111,276
1985,46,25,26,5,5,10,46,1,59,19,147,46
1986,76,162,117,26,4,0,46,36,22,45,49,74
1987,75,43,68,9,38,16,20,7,23,125,127,103
1988,117,65,13,112,7,10,10,117,14,2,22,56
1989,89,34,28,2,27,3,11,32,18,7,5,4
1990,86,41,14,26,19,10,50,41,44,15,11,7
1991,71,109,318,1,7,4,37,23,51,25,11,104
1992,90,295,291,32,25,3,16,40,2,72,0,216
1993,426,317,64,1,8,16,0,23,0,12,46,24
1994,20,98,89,21,28,0,8,16,20,19,42,108
1995,418,63,187,26,30,10,7,16,10,1,0,51
1996,38,125,43,13,17,1,27,8,13,49,74,74
1997,124,12,1,12,7,17,55,8,150,7,50,110
1998,62,449,128,39,47,18,33,35,81,10,20,13
1999,47,35,12,97,14,9,88,12,36,1,3,1
2000,26,143,65,23,3,6,0,66,2,43,3,1
2001,145,213,79,34,7,0,51,9,7,10,49,33
2002,11,3,18,11,2,1,11,0,18,10,81,76
2003,11,202,84,62,18,1,30,75,18,1,91,62
2004,15,210,44,42,2,3,8,39,11,160,107,210
2005,329,344,65,21,12,0,37,76,44,107,4,31
2006,59,37,77,47,6,6,34,10,14,42,2,21
2007,16,30,16,19,0,0,18,20,60,4,52,91
2008,208,51,2,0,18,0,39,28,6,4,104,140
2009,14,134,7,4,4,14,9,9,4,25,10,106
2010,323,152,42,36,4,1,7,14,1,112,22,332
2011,14,93,71,10,16,2,44,27,54,25,44,34
2012,35,27,35,50,1,0,66,80,25,35,7,85
2013,64,14,27,2,10,0,57,81,41,11,76,11
2014,5,40,49,17,14,0,38,88,40,2,7,124
2015,80,42,47,12,42,8,102,7,23,93,19,22
2016,137,33,29,76,15,10,11,16,19,37,20,166
2017,303,157,6,19,23,1,23,33,41,0,8,1
2018,91,11,90,10,19,0,50,12,4,62,32,76
2019,166,245,130,16,61,2,19,6,25,0,121,170
2020,4,24,206,108,2,3,0,4,0,0,11,22
2021,83,6,25,2,1,4,70,21,15,34,2,148
2022,3,12,20,6,0,6,26,98,57,29,46,68
2023,211,93,179,0,13,14,3,142,43,5,23,47
2024,106,248,108,23,2,0,11,4,5,1,9,4
2025,29,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
