OBJECTID,GlobalID,type,source,poly_DateCurrent,mission,incident_name,incident_number,area_acres,description,FireDiscoveryDate,CreationDate,EditDate,displayStatus
1,4c658021-4a6a-43b1-989a-ed8ad74c8737,Heat Perimeter,NIFC,2024/02/11 10:33:27+00,2024-CACDD-002185,IRIS,2024-CACDD-002185,10.4118500883741,Wildfire Daily Fire Perimeter,2024/02/11 04:33:27+00,2024/02/11 16:01:16+00,2024/02/12 17:16:33+00,Inactive
2,8633c474-5701-47cb-9650-53f66778e374,Heat Perimeter,FIRIS,2024/02/21 21:08:25+00,CA-RVC-PALMAS-N40Y,,,284.111111588864,FIRIS Perimeter,,2024/02/21 21:05:09+00,2024/02/21 21:10:37+00,Inactive
4,d38f2804-59d5-4529-8475-67434070fc20,Heat Perimeter,FIRIS,2024/04/04 12:35:09.631+00,CA-BDU-CARTAGO-N43U,,,101.343848161962,FIRIS Perimeter,,2024/04/04 12:29:07+00,2024/04/04 12:38:54.561+00,Inactive
6,fa0e7fb1-08cf-4aa5-942c-81b300d02ccf,Heat Perimeter,FIRIS,2024/04/12 20:09:21.437+00,CA-LNU-MARSH-N57B,,,304.138125350243,FIRIS Perimeter,,2024/04/12 20:08:23+00,2024/04/12 20:11:46.323+00,Inactive
7,7485825a-c647-43d7-b43f-7b2b7a56c570,Heat Perimeter,FIRIS,2024/04/12 20:48:39.485+00,CA-KRN-GARDNER-N43U,,,59.0861745678325,FIRIS Perimeter,,2024/04/12 20:44:23+00,2024/04/12 20:51:02.107+00,Inactive
8,7008068e-d97c-4ba2-a16b-877d78ca8a36,Heat Perimeter,FIRIS,2024/04/12 21:24:09.614+00,CA-KRN-GARDNER-N43U,,,102.258949973994,FIRIS Perimeter,,2024/04/12 21:23:21+00,2024/04/12 21:27:19.249+00,Inactive
9,b8bee281-4f29-4da1-b008-b65015e71216,Heat Perimeter,FIRIS,2024/04/12 23:41:37.199+00,CA-KRN-GARDNER-N43U,,,241.416545107746,FIRIS Perimeter,,2024/04/12 23:38:08+00,2024/04/12 23:44:05.109+00,Inactive
16,ab3d446c-5bf4-430f-a3a5-47894e54823c,Heat Perimeter,FIRIS,2024/04/13 04:14:53.290+00,CA-LNU-MARSHFIRETRAINING-N57B,,,472.633725719597,FIRIS Perimeter,,2024/04/13 04:12:00+00,2024/04/13 04:16:42.589+00,Inactive
17,d51a1c29-d78b-4179-a965-eb0d7a4f104b,Heat Perimeter,FIRIS,2024/04/21 22:15:12.528+00,CA-TNF-PENDOLA-N57B,,,12.8513553447829,FIRIS Perimeter,,2024/04/21 22:13:55+00,2024/04/21 22:34:12.889+00,Inactive
18,3181a3fc-f6e3-443f-9dcf-b870c2a694d7,Heat Perimeter,FIRIS,2024/04/21 22:15:12.528+00,CA-TNF-PENDOLA-N57B,,,12.8513553447829,FIRIS Perimeter,,2024/04/21 22:13:55+00,2024/04/21 22:35:09.358+00,Inactive
