Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,372,383,390,412,446,479,513,512,480,470,367,342
1896,396,363,406,378,422,480,523,507,481,465,383,390
1897,363,380,360,425,473,516,521,540,512,465,391,335
1898,320,396,359,411,432,476,476,498,491,476,373,336
1899,403,350,396,407,414,481,509,509,494,460,453,370
1900,400,364,420,392,456,500,512,519,489,466,438,362
1901,375,398,383,365,442,453,503,529,470,471,429,325
1902,320,394,353,386,409,468,498,517,506,460,384,355
1903,346,303,387,380,438,491,484,502,483,451,421,323
1904,305,386,406,396,452,482,502,519,531,474,395,353
1905,397,396,420,413,414,469,522,504,483,410,377,321
1906,364,432,402,404,439,457,523,516,489,437,383,370
1907,358,421,391,446,436,468,510,507,474,469,403,383
1908,376,357,352,380,401,444,536,524,496,426,396,344
1909,422,390,361,392,423,470,498,507,500,474,392,365
1910,337,345,418,422,449,453,517,486,480,463,396,371
1911,383,349,435,407,415,461,519,494,478,432,361,334
1912,391,369,398,398,470,497,505,506,516,432,385,309
1913,336,364,358,395,449,488,539,557,524,433,443,376
1914,424,382,421,434,467,478,517,521,479,467,385,359
1915,371,405,418,435,459,465,518,534,485,433,382,382
1916,369,425,410,410,421,463,507,517,499,443,350,341
1917,320,358,326,384,417,462,540,526,507,471,410,372
1918,345,365,404,406,411,512,519,519,524,488,392,337
1919,320,360,374,406,456,469,519,520,489,400,346,368
1920,357,369,368,391,430,495,506,542,506,443,409,381
1921,360,376,412,389,433,502,526,515,488,472,398,392
1922,323,368,365,371,436,496,532,511,508,460,375,392
1923,346,344,349,415,436,446,503,528,518,450,396,341
1924,324,397,369,410,461,480,493,507,488,435,396,359
1925,368,415,378,424,470,496,548,522,487,454,392,373
1926,338,409,433,474,453,507,525,525,471,478,454,351
1927,368,418,392,408,432,487,512,517,474,459,431,360
1928,357,370,438,406,475,488,516,511,494,445,398,350
1929,334,337,378,383,441,494,525,531,495,459,357,408
1930,375,396,408,427,425,481,514,520,492,450,384,327
1931,379,411,397,427,496,506,546,542,489,457,374,371
1932,351,362,400,391,456,490,516,513,513,450,421,320
1933,321,328,391,398,422,466,522,531,482,481,380,372
1934,367,411,442,429,470,494,522,530,494,462,428,369
1935,360,375,347,424,441,479,506,521,512,439,354,351
1936,384,391,393,420,464,501,534,530,500,472,376,350
1937,301,360,397,392,446,503,543,523,509,473,421,385
1938,374,394,391,413,451,496,539,524,514,467,360,391
1939,358,336,388,428,454,477,526,529,537,458,388,391
1940,411,416,420,430,464,506,526,528,510,461,386,403
1941,396,423,430,411,482,491,542,532,488,444,419,396
1942,377,360,367,416,436,476,535,527,495,461,399,367
1943,355,385,424,426,447,467,525,507,515,453,400,380
1944,365,364,376,391,449,485,517,503,499,468,404,373
1945,343,374,361,387,447,488,550,520,514,481,405,395
1946,333,340,379,406,452,478,526,525,501,430,379,376
1947,310,394,422,430,470,507,514,521,504,479,360,347
1948,361,347,366,415,436,498,512,517,489,465,375,338
1949,278,342,401,422,460,498,517,518,513,431,433,348
1950,332,374,385,418,443,486,541,531,522,475,467,430
1951,370,368,367,426,463,499,526,530,526,459,420,368
1952,361,385,376,429,453,476,544,527,516,488,382,396
1953,413,347,366,400,432,475,530,524,540,444,431,361
1954,363,377,383,442,455,480,538,512,490,441,416,369
1955,333,345,373,376,452,482,503,517,498,457,390,419
1956,403,336,369,412,464,487,533,518,516,456,378,335
1957,336,436,414,421,474,516,538,517,526,485,394,377
1958,374,440,388,425,479,516,547,574,533,489,406,386
1959,402,375,407,441,446,499,547,542,519,488,388,357
1960,359,387,421,418,447,522,545,518,508,450,406,357
1961,352,394,388,410,442,522,550,564,505,461,390,366
1962,335,394,379,425,440,490,516,531,507,475,415,381
1963,325,450,377,406,471,491,516,527,538,493,417,345
1964,348,339,362,396,427,486,530,532,490,488,394,413
1965,388,363,399,430,436,478,524,553,494,477,439,344
1966,345,354,393,435,466,498,515,540,514,469,438,384
1967,367,370,392,380,455,497,546,553,552,471,446,341
1968,346,447,404,406,446,506,539,533,515,462,427,354
1969,384,382,379,409,470,517,539,522,530,452,408,392
1970,413,400,401,374,462,502,539,525,496,454,436,381
1971,362,364,379,392,446,488,532,557,523,422,384,340
1972,334,396,419,406,452,504,550,546,512,497,415,345
1973,361,416,382,417,473,518,528,527,514,458,411,388
1974,377,348,418,404,440,502,543,543,523,484,403,361
1975,338,388,390,374,448,494,519,523,526,450,375,347
1976,328,378,375,395,456,490,541,544,543,487,425,327
1977,360,381,353,401,434,513,527,556,522,469,415,425
1978,427,421,464,424,463,495,536,537,516,476,382,327
1979,366,371,421,415,470,493,538,531,538,495,403,366
1980,414,424,388,424,448,478,546,533,512,460,388,374
1981,400,402,407,419,459,531,525,536,521,443,446,404
1982,333,398,400,416,461,500,531,538,526,471,402,378
1983,381,422,436,414,469,507,535,569,563,506,433,422
1984,376,373,411,403,472,495,568,555,561,466,412,367
1985,348,362,375,445,451,522,569,531,517,458,398,360
1986,423,428,441,423,452,514,533,544,497,470,405,368
1987,348,383,399,434,488,508,524,538,525,519,422,376
1988,376,376,403,435,446,501,559,550,511,491,424,358
1989,340,362,429,452,464,514,532,527,516,470,401,338
1990,362,354,409,453,460,506,560,559,529,474,392,302
1991,364,408,394,412,437,482,551,546,540,499,417,362
1992,362,434,446,461,508,526,564,550,525,503,410,360
1993,385,402,446,433,477,511,537,550,517,494,393,362
1994,362,374,417,432,471,495,535,537,527,461,365,360
1995,443,437,428,424,472,501,555,543,530,480,449,416
1996,395,442,423,442,476,507,563,550,509,465,431,421
1997,412,386,411,433,507,513,549,571,555,470,455,371
1998,419,415,421,422,460,518,556,565,550,452,414,331
1999,372,375,385,408,442,489,535,539,529,481,431,358
2000,408,427,406,443,482,531,528,544,531,479,374,383
2001,350,381,434,402,498,517,551,543,529,493,445,400
2002,350,384,384,434,453,507,550,540,535,467,435,404
2003,429,386,411,409,472,520,560,562,550,491,398,402
2004,380,392,442,434,469,510,557,558,523,478,402,387
2005,395,431,438,412,484,498,569,555,502,466,432,412
2006,384,382,375,441,482,536,579,536,515,459,420,366
2007,325,394,416,424,463,503,554,554,519,466,418,352
2008,375,383,391,401,461,506,556,556,530,477,449,356
2009,379,393,398,413,495,517,550,548,546,477,396,374
2010,410,417,395,410,440,510,543,531,526,499,402,415
2011,384,359,414,420,445,505,550,543,542,494,405,331
2012,366,377,394,437,462,496,540,563,531,499,439,391
2013,354,356,420,448,482,532,564,553,535,460,423,347
2014,397,420,441,451,491,521,585,567,560,511,452,443
2015,401,437,446,434,470,540,575,574,560,532,392,363
2016,422,422,435,455,487,533,546,551,523,489,442,380
2017,388,430,431,444,485,537,569,588,560,478,448,363
2018,425,370,410,438,478,514,586,558,520,487,435,399
2019,413,370,412,465,472,536,552,571,542,455,420,418
2020,387,386,409,452,487,524,552,592,564,522,402,372
2021,388,388,378,430,470,535,575,571,550,477,452,389
2022,385,356,404,424,461,531,562,572,578,490,375,395
2023,392,353,392,427,480,510,566,573,532,497,429,421
2024,411,412,416,438,474,535,590,563,546,523,405,418
2025,368,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
