Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,913,196,235,153,86,0,3,1,19,105,167,145
1896,873,20,347,328,88,0,9,23,21,195,363,357
1897,341,516,450,40,8,15,0,4,9,143,72,152
1898,144,222,89,24,114,6,0,1,84,49,54,134
1899,518,30,675,116,61,29,0,3,1,384,303,330
1900,287,39,211,174,119,2,2,0,5,174,803,135
1901,567,602,101,222,128,0,0,0,50,75,211,58
1902,143,811,340,191,55,0,0,0,0,130,274,160
1903,359,172,686,97,1,0,0,0,0,11,209,69
1904,115,556,535,222,18,0,0,16,125,209,95,261
1905,369,490,508,103,236,0,1,0,2,1,218,120
1906,463,482,796,112,220,29,0,0,11,0,173,881
1907,910,200,961,29,10,35,0,0,9,292,3,474
1908,532,376,113,46,53,1,0,0,33,48,150,199
1909,1318,616,418,0,0,5,0,0,37,79,191,811
1910,441,102,401,32,0,1,0,0,33,47,46,111
1911,1285,323,882,122,26,5,0,0,3,41,37,230
1912,253,21,493,376,135,22,0,0,32,26,75,56
1913,434,125,164,43,72,17,5,13,4,2,487,459
1914,1309,437,104,99,26,23,3,0,2,81,42,660
1915,681,925,164,185,256,0,0,1,2,0,55,539
1916,1412,299,215,39,10,0,3,6,93,183,75,614
1917,209,544,108,50,33,0,0,0,4,1,107,63
1918,79,663,581,30,5,0,0,1,113,47,358,270
1919,114,612,321,10,25,0,0,0,42,18,17,433
1920,78,212,489,133,0,17,1,4,5,174,273,439
1921,579,156,204,74,133,1,0,0,31,37,95,948
1922,415,611,293,43,74,9,0,0,0,113,394,639
1923,309,117,24,346,2,22,0,1,55,41,42,98
1924,251,96,273,59,8,0,0,0,2,157,166,295
1925,130,432,246,230,234,9,6,3,18,34,100,209
1926,321,601,44,411,9,1,0,0,0,89,601,152
1927,277,714,203,166,9,19,0,0,6,179,238,305
1928,93,283,383,102,41,0,0,0,0,4,300,388
1929,122,186,182,128,1,52,0,0,9,1,0,149
1930,528,300,307,98,73,2,0,1,26,20,186,19
1931,536,195,81,60,143,39,0,3,1,31,272,1041
1932,418,445,72,52,44,2,1,1,1,3,40,252
1933,687,51,179,19,85,14,0,0,2,101,0,511
1934,146,449,9,18,64,50,0,1,16,128,351,375
1935,647,126,424,469,1,0,0,23,3,79,104,217
1936,269,1022,159,165,51,31,9,1,1,135,2,619
1937,483,601,685,62,3,16,0,0,0,42,158,668
1938,404,1001,692,192,12,1,1,0,30,111,88,199
1939,347,234,280,47,43,1,0,1,54,81,45,141
1940,922,879,329,81,27,0,2,1,16,65,57,893
1941,648,958,689,483,55,5,1,1,0,122,111,860
1942,424,256,258,386,93,0,0,0,5,94,238,242
1943,709,245,497,134,1,3,0,0,0,67,51,315
1944,309,825,113,161,68,12,1,0,0,102,441,252
1945,78,571,405,33,35,8,0,6,4,194,190,647
1946,101,245,313,19,62,0,4,0,3,34,468,275
1947,77,179,233,42,38,23,0,1,1,182,68,132
1948,27,199,412,388,81,5,1,0,1,56,25,460
1949,158,283,570,13,48,1,3,6,3,9,156,258
1950,537,295,207,156,31,2,6,1,7,211,461,427
1951,303,212,112,114,49,2,0,3,3,99,312,769
1952,868,156,578,159,12,13,2,0,6,3,273,790
1953,250,3,172,221,38,14,0,7,0,21,268,51
1954,424,309,488,116,17,20,0,4,0,2,214,362
1955,548,229,41,247,107,1,0,2,1,2,191,1336
1956,612,171,12,205,107,0,2,1,20,132,1,49
1957,471,376,150,209,212,16,0,0,24,202,76,438
1958,443,852,826,610,64,16,1,5,69,3,39,65
1959,455,640,24,44,5,0,0,2,92,0,0,80
1960,422,537,118,163,32,0,1,0,3,23,426,138
1961,250,88,221,77,64,9,1,5,10,6,327,237
1962,232,1025,262,18,10,2,0,4,3,252,25,288
1963,463,477,414,440,54,9,0,2,27,162,426,29
1964,342,19,216,55,66,32,1,10,7,158,341,608
1965,319,87,245,344,1,1,4,13,3,6,740,438
1966,199,161,32,31,9,6,11,4,29,0,405,621
1967,670,48,531,598,24,38,1,0,32,24,193,238
1968,320,168,289,89,25,1,0,9,0,140,255,430
1969,1338,1007,118,237,3,6,2,0,22,94,98,305
1970,695,205,286,30,2,15,0,0,0,38,658,627
1971,140,47,174,137,60,0,0,3,13,15,145,567
1972,116,95,7,86,4,10,2,0,26,285,664,210
1973,764,851,363,14,4,0,0,1,11,191,475,429
1974,579,71,572,213,1,10,7,0,0,155,73,379
1975,84,593,549,184,1,3,6,17,4,187,37,26
1976,16,269,159,135,1,10,1,25,112,73,113,178
1977,186,51,182,6,167,6,1,1,40,17,108,649
1978,890,700,631,416,2,2,0,0,58,0,291,115
1979,614,490,354,57,21,0,7,2,3,169,187,424
1980,616,811,242,157,40,2,11,0,1,7,12,170
1981,538,180,531,83,11,0,0,0,5,182,472,252
1982,615,231,698,423,1,26,1,2,114,185,598,407
1983,842,694,944,417,35,2,1,18,86,101,559,586
1984,28,141,120,64,3,7,1,4,7,152,534,309
1985,74,156,377,31,8,8,5,1,21,89,430,190
1986,306,912,636,79,20,0,4,0,93,5,27,134
1987,289,371,354,38,9,3,0,0,1,166,200,464
1988,289,158,31,221,53,21,0,0,0,9,218,450
1989,118,167,295,57,15,2,0,2,117,139,103,3
1990,321,265,107,38,174,0,1,1,43,11,35,134
1991,60,283,1124,39,17,13,1,11,6,129,45,385
1992,227,810,386,17,0,15,5,1,1,141,10,620
1993,1083,722,348,45,58,36,0,0,0,34,174,216
1994,240,500,83,140,145,2,0,0,40,74,359,192
1995,1333,106,1131,154,114,50,4,0,0,1,15,464
1996,543,744,264,136,148,1,0,0,1,219,338,877
1997,938,24,20,24,15,12,2,14,5,37,600,433
1998,726,1486,364,269,270,11,1,0,15,54,297,129
1999,365,375,333,204,5,10,0,3,23,14,178,30
2000,622,891,202,179,53,23,1,5,17,275,44,44
2001,529,567,309,183,0,4,2,1,9,38,404,573
2002,144,119,206,50,58,1,0,1,1,1,361,880
2003,101,233,173,295,128,1,3,8,1,15,158,598
2004,201,597,65,13,4,1,1,1,6,419,154,736
2005,581,537,433,170,113,26,2,2,5,15,92,625
2006,485,198,667,456,113,0,2,0,0,39,123,289
2007,106,389,42,99,11,0,1,5,29,110,38,240
2008,951,301,20,32,4,0,0,0,0,30,175,236
2009,176,601,233,43,47,8,1,2,14,377,23,336
2010,734,422,199,378,56,1,2,1,1,127,261,780
2011,220,441,713,40,108,50,1,0,2,143,212,17
2012,279,93,433,295,4,11,1,1,0,61,340,608
2013,110,56,83,42,8,4,0,1,18,14,67,37
2014,11,450,231,143,3,0,2,1,21,52,194,897
2015,10,238,28,118,37,8,9,4,4,28,272,341
2016,687,98,551,113,22,0,0,1,0,284,199,330
2017,1203,818,239,213,13,5,1,1,10,16,152,12
2018,399,37,670,156,5,0,1,0,0,25,382,230
2019,539,852,424,43,208,2,1,0,6,0,189,670
2020,141,1,388,228,48,1,1,5,0,0,59,158
2021,628,58,165,7,1,0,2,0,1,325,56,849
2022,16,9,120,105,1,6,1,2,66,1,204,939
2023,1047,396,825,9,87,13,0,5,8,11,133,500
2024,501,702,430,219,58,0,0,1,13,3,253,266
2025,28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
