Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,319,337,336,368,418,460,510,507,462,430,330,300
1896,360,328,368,340,397,465,549,527,480,426,350,366
1897,333,330,309,379,448,470,510,524,479,417,356,326
1898,279,353,311,376,408,469,504,526,477,418,344,299
1899,342,310,347,358,380,451,499,480,485,405,416,334
1900,369,341,381,362,422,479,508,493,466,417,390,346
1901,303,331,353,338,412,437,495,525,466,454,392,314
1902,300,382,331,364,401,454,497,511,469,419,369,337
1903,327,270,339,341,415,476,480,502,474,444,402,324
1904,308,333,352,381,432,463,516,520,506,442,394,334
1905,358,344,383,384,388,457,524,504,479,394,321,299
1906,334,370,350,384,418,455,549,525,480,409,365,356
1907,320,401,342,397,415,458,518,510,473,461,360,363
1908,356,322,319,370,374,437,547,511,470,403,373,312
1909,368,348,337,356,386,467,497,493,493,431,378,301
1910,297,312,380,390,434,450,521,486,458,435,375,349
1911,312,286,349,354,389,459,533,488,444,402,339,289
1912,351,354,326,356,421,473,512,500,490,384,381,313
1913,280,278,318,362,420,468,538,549,488,413,395,327
1914,365,326,366,397,435,460,512,512,460,430,336,288
1915,324,356,367,403,420,443,514,520,451,390,353,341
1916,289,371,358,369,380,447,495,504,470,377,307,284
1917,245,297,289,357,387,428,521,527,484,408,380,358
1918,338,319,341,347,374,473,486,493,510,438,351,285
1919,307,331,334,376,408,428,504,500,471,362,320,302
1920,316,289,322,341,374,459,493,519,480,414,368,340
1921,332,340,373,354,398,472,501,492,449,439,360,328
1922,260,302,318,331,398,468,521,491,468,422,320,332
1923,319,281,315,370,408,438,500,511,495,418,361,299
1924,280,361,311,357,425,451,492,498,452,414,358,289
1925,347,365,330,385,436,460,526,488,456,384,349,330
1926,309,364,352,420,419,476,516,505,435,430,412,313
1927,354,344,337,354,389,467,505,496,464,408,397,293
1928,339,329,386,361,429,454,511,488,464,412,360,297
1929,287,277,336,338,394,456,498,499,448,415,301,377
1930,292,358,348,386,382,443,499,502,483,403,335,288
1931,333,350,359,372,443,476,521,494,459,409,322,311
1932,297,287,365,355,417,470,496,496,473,408,387,269
1933,288,269,354,348,387,461,515,512,463,434,340,356
1934,369,375,407,403,447,470,506,520,471,438,406,338
1935,315,343,312,383,402,461,495,504,486,418,333,325
1936,355,350,334,386,432,481,521,512,462,411,292,304
1937,220,304,359,358,412,487,528,493,481,454,403,352
1938,343,336,345,384,411,470,532,488,496,434,318,336
1939,311,293,351,377,423,448,517,511,488,416,322,367
1940,364,384,369,388,435,489,509,513,507,451,362,352
1941,366,386,366,374,450,466,540,522,463,413,398,363
1942,334,323,315,372,403,456,531,515,474,423,372,358
1943,307,339,366,396,404,444,513,493,502,435,369,328
1944,319,321,325,359,408,460,511,493,479,437,367,352
1945,334,346,330,354,431,459,523,506,470,452,385,353
1946,304,307,345,367,414,446,528,510,461,391,348,344
1947,276,356,371,386,435,472,506,498,475,458,348,323
1948,309,296,320,353,403,480,504,496,474,424,336,286
1949,202,296,362,375,435,461,504,498,491,382,384,300
1950,273,322,338,357,396,462,520,516,494,459,411,395
1951,335,340,310,381,422,467,506,511,496,434,379,317
1952,310,330,320,374,416,457,540,507,502,446,311,345
1953,382,323,326,359,396,441,505,519,516,413,410,338
1954,341,341,330,387,417,454,504,502,466,404,382,322
1955,291,292,315,336,400,461,493,496,469,430,360,370
1956,361,289,324,375,426,456,528,506,476,424,337,292
1957,266,350,374,374,439,480,509,493,506,448,349,345
1958,349,404,329,370,443,502,552,550,498,436,387,370
1959,355,324,339,379,400,475,525,510,494,443,316,288
1960,329,331,374,375,414,483,532,500,478,428,367,330
1961,332,364,354,363,417,498,518,546,467,421,338,323
1962,273,331,337,379,405,448,500,518,496,445,386,351
1963,268,408,336,361,444,465,498,510,515,462,386,335
1964,318,284,314,336,396,465,520,509,456,437,359,372
1965,344,316,338,396,394,457,509,536,458,434,403,298
1966,318,311,346,375,421,462,496,522,498,415,392,352
