Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,374,435,451,511,576,664,698,704,610,580,454,376
1896,430,452,464,444,531,669,743,698,638,578,446,438
1897,396,394,392,538,629,640,707,713,631,543,447,395
1898,342,436,427,534,550,646,711,714,637,548,450,380
1899,411,415,436,505,524,650,701,645,664,517,476,389
1900,437,438,493,486,580,662,709,662,603,530,479,409
1901,379,407,467,485,572,639,707,713,617,582,487,413
1902,377,436,422,484,543,657,694,689,659,546,437,398
1903,391,338,426,474,585,660,670,691,639,584,475,409
1904,385,403,420,496,603,660,696,711,656,549,474,395
1905,420,437,467,518,535,633,722,704,641,543,448,364
1906,399,444,432,509,541,604,742,712,641,566,452,405
1907,363,472,414,522,561,613,691,680,622,584,469,412
1908,408,406,451,528,519,617,748,707,647,533,471,362
1909,417,406,431,523,560,651,690,696,653,550,451,370
1910,344,382,492,540,605,636,725,700,630,573,470,427
1911,387,356,465,486,532,643,730,675,595,537,456,375
1912,402,438,423,460,563,634,688,676,623,513,462,392
1913,345,391,425,493,582,626,710,727,671,577,457,388
1914,402,417,500,510,593,634,708,712,624,553,483,348
1915,379,412,479,518,533,640,706,723,639,580,448,404
1916,333,448,476,528,546,634,697,691,644,518,425,364
1917,325,397,396,482,530,652,742,718,647,609,477,441
1918,414,400,442,505,551,711,697,692,643,574,438,371
1919,392,387,427,517,602,640,718,701,632,518,445,373
1920,428,426,425,487,573,644,689,719,628,510,439,386
1921,379,423,470,491,544,656,718,685,628,574,468,409
1922,338,368,408,471,579,661,730,683,673,541,422,397
1923,375,402,467,489,572,597,700,694,662,542,495,385
1924,370,466,435,524,626,658,708,690,644,523,454,355
1925,404,435,468,508,579,661,734,681,597,544,446,412
1926,378,437,518,552,591,706,739,698,613,573,502,390
1927,400,416,447,492,559,654,722,687,613,566,474,377
1928,399,428,480,494,626,654,726,709,653,554,450,369
1929,363,389,455,461,588,638,715,720,637,586,488,451
1930,356,451,474,520,538,662,720,697,620,556,470,389
1931,398,439,480,539,631,644,764,730,629,556,426,364
1932,359,383,473,482,572,673,707,705,694,569,500,332
1933,342,358,447,507,519,646,751,727,629,618,482,400
1934,430,450,535,561,606,644,712,726,669,571,470,410
1935,376,421,406,496,578,679,701,720,672,546,430,401
1936,414,413,479,526,595,650,732,720,661,588,476,388
1937,276,377,448,484,599,649,738,714,660,573,473,431
1938,411,396,418,501,587,678,734,703,670,548,434,423
1939,398,377,470,562,594,653,731,727,663,562,482,436
1940,416,435,479,519,610,704,703,719,626,568,446,428
1941,416,442,480,488,578,626,729,683,620,542,479,407
1942,385,396,442,486,532,638,727,711,651,580,456,407
1943,396,430,464,522,587,605,719,678,687,555,474,411
1944,380,400,455,473,576,609,706,698,680,587,429,418
1945,393,430,414,510,558,651,741,700,666,592,445,392
1946,385,383,448,524,584,624,718,711,644,523,434,405
1947,369,450,479,534,626,635,680,676,671,554,434,390
1948,427,387,409,447,531,640,694,678,640,561,445,341
1949,286,359,428,544,579,666,712,677,665,546,508,375
1950,327,417,434,519,586,638,740,722,653,564,496,437
1951,379,408,443,530,580,668,712,705,678,543,455,374
1952,345,398,401,518,591,607,743,705,680,610,436,385
1953,435,430,444,491,516,602,727,679,688,555,472,419
1954,393,444,424,537,605,626,722,664,629,553,470,372
1955,344,384,441,445,576,646,684,718,659,576,442,411
1956,396,367,452,503,574,651,722,686,652,540,472,405
1957,342,432,459,508,562,682,709,677,662,526,440,407
1958,400,450,409,492,605,641,720,748,670,604,476,460
1959,422,404,482,552,555,677,748,705,634,593,488,400
1960,369,410,476,497,551,703,750,708,674,565,444,405
1961,408,438,436,510,540,696,736,725,632,564,446,386
1962,377,393,415,541,547,655,716,696,663,561,481,428
1963,375,489,432,439,578,634,680,692,673,570,448,396
1964,379,415,429,494,546,624,715,708,634,599,424,418
1965,396,425,458,498,565,627,707,696,613,594,463,359
1966,375,384,454,544,612,652,686,730,662,575,470,401
1967,398,432,425,402,576,638,737,754,689,573,495,361
1968,369,459,468,511,567,671,730,670,660,556,452,361
1969,366,372,435,490,612,645,728,723,676,527,480,423
1970,419,452,464,463,597,666,734,712,646,547,474,368
1971,393,417,429,481,545,628,730,731,642,528,447,348
1972,359,426,498,488,590,671,730,717,626,544,430,337
1973,362,428,420,517,623,677,729,699,643,550,434,411
1974,379,403,448,477,579,673,705,711,688,579,455,388
1975,386,397,421,431,581,652,704,683,686,533,435,418
1976,409,422,435,472,605,637,721,653,657,580,504,415
1977,367,455,422,540,510,697,717,725,637,573,463,429
1978,428,432,498,478,574,643,718,710,623,605,432,358
1979,370,401,465,491,596,658,711,683,680,573,443,419
1980,417,452,438,510,559,602,713,690,651,580,476,430
1981,428,437,452,527,587,691,718,723,670,530,478,429
1982,359,423,425,466,592,633,693,701,630,544,423,390
1983,406,434,444,458,578,641,672,705,664,579,442,406
1984,416,421,487,487,604,645,748,713,677,519,428,373
1985,385,425,422,548,572,696,741,687,606,550,407,392
1986,448,454,502,508,581,678,699,725,594,565,484,406
1987,376,427,449,558,615,681,675,716,671,614,461,378
1988,388,456,480,519,553,650,757,723,670,615,450,389
1989,367,371,457,548,571,661,706,682,638,544,477,417
1990,396,379,473,554,558,642,732,706,665,581,454,339
1991,404,481,407,482,538,625,735,692,700,615,483,405
1992,397,458,482,542,650,662,704,733,668,591,462,364
1993,359,391,491,495,573,635,689,691,663,580,449,392
1994,423,397,488,520,584,651,740,709,665,550,382,369
1995,414,472,437,482,555,622,696,702,670,585,520,425
1996,410,445,473,512,570,667,750,734,642,555,476,418
1997,402,436,495,515,632,648,714,701,660,547,473,393
1998,408,396,456,482,498,620,726,734,671,540,438,373
1999,407,395,426,490,570,641,693,687,683,597,485,417
2000,406,429,467,535,583,688,691,713,647,546,421,425
2001,392,394,495,478,656,668,714,725,674,603,470,391
2002,379,443,446,520,576,678,745,710,672,566,485,408
2003,457,423,474,446,577,687,758,702,693,613,426,400
2004,392,410,529,536,587,672,729,717,658,546,450,417
2005,396,445,480,489,571,610,756,730,633,562,476,420
2006,407,435,390,490,607,694,758,704,664,555,456,401
2007,389,426,508,520,606,665,731,718,632,534,491,375
2008,366,418,456,493,594,668,731,733,681,578,497,379
2009,431,415,449,507,622,647,736,714,695,544,465,373
2010,416,434,450,463,519,651,730,695,663,572,446,411
2011,417,400,430,480,529,624,703,710,698,570,443,410
2012,423,428,434,510,595,644,714,741,696,580,480,382
2013,383,425,491,543,598,680,752,705,646,553,489,402
2014,468,449,488,536,610,685,760,719,681,597,484,435
2015,463,495,530,530,587,720,730,720,676,618,433,382
2016,406,479,476,548,596,685,726,730,667,545,477,385
2017,377,427,482,496,610,689,756,757,671,574,470,433
2018,441,427,438,516,604,678,764,718,663,578,488,407
2019,430,364,443,544,563,684,720,732,643,546,501,412
2020,414,464,444,536,600,673,738,753,708,631,464,421
2021,418,433,447,546,619,718,774,741,688,542,495,391
2022,430,449,496,506,580,675,743,755,701,610,424,384
2023,392,394,391,507,592,652,754,733,643,581,481,444
2024,422,424,447,520,603,709,792,718,692,611,439,440
2025,429,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
