Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,445,534,555,629,697,816,847,860,740,720,572,467
1896,505,568,553,536,639,816,891,844,769,713,534,518
1897,476,472,477,669,769,771,866,876,758,657,542,485
1898,440,521,542,668,662,785,879,870,782,671,557,478
1899,494,525,519,626,640,801,872,788,830,622,547,463
1900,512,531,604,591,699,804,871,808,734,631,562,487
1901,459,488,574,607,695,787,871,864,751,704,571,509
1902,470,497,519,582,659,810,851,841,820,667,521,477
1903,472,444,509,589,721,804,833,858,797,724,554,504
1904,479,471,479,600,742,810,848,864,790,657,574,479
1905,496,535,558,636,649,781,895,875,798,694,570,463
1906,484,521,512,621,646,723,908,869,797,718,548,475
1907,426,552,480,630,684,745,843,834,765,702,588,482
1908,478,496,579,667,643,772,919,876,805,662,592,439
1909,466,468,523,662,703,799,856,875,803,670,536,450
1910,418,464,601,671,753,791,895,886,781,709,566,518
1911,468,447,572,600,658,791,895,846,740,675,584,484
1912,481,540,518,567,690,772,842,832,760,637,554,490
1913,433,506,538,610,718,756,859,885,831,729,531,474
1914,465,516,628,615,728,778,874,887,775,677,627,438
1915,459,478,588,629,633,799,862,899,798,749,552,482
1916,392,539,591,663,683,784,859,853,801,644,547,459
1917,435,501,513,595,653,824,916,884,803,780,590,545
1918,514,490,544,644,694,885,863,856,763,698,538,473
1919,496,452,527,644,752,804,886,872,776,659,579,462
1920,548,555,527,614,729,786,852,885,770,620,518,453
1921,447,525,566,617,669,805,894,853,788,712,589,494
1922,444,445,503,604,725,815,902,846,850,658,526,467
1923,455,526,605,596,708,732,867,854,806,664,625,485
1924,486,577,546,672,790,828,888,865,813,630,560,438
1925,493,513,594,618,700,813,901,840,730,689,548,507
1926,476,520,658,666,737,881,920,874,780,709,591,480
1927,472,484,551,616,702,804,906,860,760,712,552,470
1928,484,535,573,613,779,812,903,894,824,693,550,463
1929,450,506,568,575,745,782,893,906,808,742,653,536
1930,430,555,594,640,667,834,894,866,749,701,603,507
1931,485,531,596,677,777,779,948,910,780,692,531,434
1932,440,489,581,600,700,833,878,879,878,718,622,427
1933,424,468,539,645,637,800,936,905,787,778,625,473
1934,519,533,666,708,746,784,884,902,834,697,553,494
1935,456,512,508,594,718,845,866,896,847,677,540,499
1936,494,487,608,654,735,791,898,895,831,743,644,489
1937,360,460,537,597,756,790,907,892,825,702,560,523
1938,494,464,489,608,730,834,897,879,826,658,555,518
1939,496,482,580,713,738,815,902,904,812,702,632,522
1940,482,500,582,632,753,869,868,895,753,688,541,514
1941,482,513,593,598,692,761,893,828,772,671,581,472
1942,465,487,564,590,653,789,895,885,814,728,557,481
1943,489,531,562,633,730,741,885,848,863,681,595,505
1944,467,487,579,583,715,738,871,879,853,731,506,504
1945,482,523,510,649,673,793,913,874,836,714,520,458
1946,485,481,546,662,729,777,878,889,808,651,532,481
1947,482,558,586,665,778,769,846,837,846,661,538,482
1948,543,493,509,533,649,774,855,843,797,698,559,418
1949,396,453,503,692,706,823,883,839,826,694,641,476
