Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,1581,354,348,202,292,2,30,24,252,14,201,473
1896,1428,82,587,881,390,10,21,49,105,135,878,608
1897,350,883,671,158,76,140,3,7,46,279,385,379
1898,134,592,76,83,287,131,3,4,58,141,268,199
1899,747,103,977,105,191,77,11,41,11,724,705,652
1900,492,240,442,320,171,59,10,12,44,513,599,354
1901,734,765,191,418,100,8,1,30,214,286,473,366
1902,154,1374,465,362,165,12,26,13,8,371,626,573
1903,803,225,768,87,68,49,4,4,18,102,1144,310
1904,229,1521,1226,360,47,11,26,16,268,444,279,550
1905,592,403,712,145,265,39,1,22,30,19,246,232
1906,1284,656,1183,200,487,176,5,17,56,12,258,1177
1907,843,593,1481,182,148,211,5,15,30,151,56,783
1908,528,483,182,85,312,44,8,4,37,207,277,314
1909,2120,967,362,24,61,42,6,7,96,239,605,708
1910,563,381,385,65,42,14,15,0,103,104,326,364
1911,1742,365,785,275,109,47,24,0,38,78,121,213
1912,471,94,483,375,298,98,14,11,247,131,431,223
1913,672,79,282,241,154,148,63,28,7,7,690,1146
1914,1486,646,114,301,113,155,5,2,26,233,92,553
1915,846,1207,335,174,556,3,21,6,4,25,272,757
1916,1543,451,338,63,142,46,39,22,37,189,262,629
1917,293,780,233,275,139,6,6,11,44,1,219,233
1918,137,693,676,138,51,9,1,10,295,186,333,225
1919,371,1112,414,137,18,3,2,0,119,84,83,526
1920,64,191,618,395,17,80,14,47,46,304,967,900
1921,949,266,353,72,221,47,0,1,9,116,242,805
1922,241,987,419,88,194,61,9,21,7,288,466,1060
1923,410,124,33,507,90,187,17,25,211,149,78,212
1924,292,356,217,75,8,8,1,20,18,524,303,613
1925,221,1033,324,350,274,117,15,43,159,114,295,240
1926,558,816,40,639,138,2,9,19,7,225,1123,268
1927,543,1061,335,364,138,77,2,3,22,216,728,399
1928,307,323,899,238,40,26,2,3,18,58,491,474
1929,191,326,253,268,12,230,0,1,2,39,0,1053
1930,659,456,397,274,168,5,2,3,136,63,269,92
1931,522,267,258,108,172,135,0,1,30,260,331,1160
1932,373,213,173,287,249,33,6,4,2,24,149,378
1933,641,119,450,94,242,11,7,3,28,304,1,918
1934,254,506,187,143,156,129,1,7,54,239,638,371
1935,751,369,512,777,71,4,8,6,18,215,159,425
1936,957,1095,225,242,124,175,13,8,50,25,4,412
1937,497,937,721,246,32,168,18,0,4,275,890,872
1938,528,1274,1015,273,67,31,24,1,68,281,200,172
1939,366,201,372,36,221,21,23,3,85,198,42,484
1940,1179,1296,749,161,152,23,1,3,94,296,302,1326
1941,979,997,481,509,288,86,19,27,26,172,343,1259
1942,751,746,236,670,367,25,1,8,13,61,622,618
1943,1117,315,577,334,63,144,13,0,1,147,169,249
1944,477,683,266,319,121,142,19,4,16,224,707,474
1945,195,710,474,81,315,111,7,5,10,519,559,1139
1946,233,298,335,50,92,10,46,1,27,99,568,400
1947,116,398,583,131,90,191,8,20,11,596,153,148
1948,428,209,595,881,286,150,15,20,64,107,252,562
1949,161,396,829,35,226,13,3,20,15,24,253,217
1950,931,497,461,233,144,68,2,10,69,607,779,800
1951,674,441,197,195,225,7,0,20,8,364,606,1106
1952,1108,536,583,141,117,161,47,3,50,27,279,1229
1953,828,50,401,400,303,131,3,46,4,140,490,165
1954,806,514,594,354,18,135,4,53,21,44,520,666
1955,363,195,133,436,54,25,16,0,80,72,452,1899
1956,1176,637,54,210,274,44,25,3,64,410,16,99
1957,492,688,465,269,439,19,2,0,220,454,250,585
1958,708,1316,799,505,153,217,59,27,49,61,127,226
