Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,397,446,458,518,597,675,715,708,647,584,466,398
1896,440,456,482,473,571,692,742,717,646,587,467,444
1897,400,411,416,541,620,678,735,736,664,557,481,407
1898,365,467,450,550,573,681,725,731,668,591,482,407
1899,436,445,475,541,560,689,742,688,697,556,500,413
1900,435,456,521,505,612,697,742,700,643,582,517,427
1901,415,449,483,503,588,673,744,740,646,606,516,421
1902,395,455,442,509,563,690,723,712,688,578,461,415
1903,396,376,465,510,596,697,706,725,665,606,498,418
1904,405,450,467,519,624,688,724,748,694,581,504,424
1905,454,469,501,538,567,666,744,727,677,579,482,399
1906,444,485,472,509,561,641,772,737,679,604,465,419
1907,402,486,456,551,582,643,730,708,636,586,493,438
1908,430,418,476,544,554,634,769,730,672,561,498,403
1909,464,431,444,542,580,671,722,725,668,568,477,406
1910,383,421,511,565,634,656,743,727,659,588,487,440
1911,432,403,490,514,560,663,755,697,626,568,477,397
1912,431,460,452,482,593,671,717,705,659,553,489,407
1913,393,439,468,524,609,648,738,753,700,599,500,419
1914,447,454,518,535,606,661,732,731,654,586,509,396
1915,416,444,503,528,555,666,729,740,656,599,480,425
1916,387,475,502,545,565,650,719,712,662,529,453,396
1917,370,432,436,508,544,694,783,738,686,627,509,452
1918,414,434,481,533,558,743,728,720,667,604,473,402
1919,421,416,445,535,622,680,754,739,662,547,470,422
1920,429,447,448,514,600,666,716,740,651,534,484,426
1921,410,447,502,519,565,691,761,723,664,601,506,446
1922,362,409,442,497,607,688,765,721,716,578,450,438
1923,408,426,489,508,597,619,730,721,690,572,516,410
1924,409,496,462,538,650,694,735,724,682,548,489,407
1925,424,471,491,529,607,689,761,711,626,564,479,435
1926,404,468,532,576,624,728,758,732,647,598,540,412
1927,426,456,468,522,594,679,752,716,631,598,494,414
1928,418,453,513,532,644,682,741,733,686,577,482,400
1929,390,416,472,492,618,670,742,755,670,608,508,467
1930,404,484,494,553,555,693,746,726,636,574,497,411
1931,432,467,504,578,656,666,802,766,651,581,461,410
1932,383,427,499,517,601,687,733,725,704,583,532,379
1933,373,404,483,528,547,661,778,750,656,643,512,425
1934,426,476,562,595,635,658,749,748,691,596,498,431
1935,415,445,433,525,594,703,728,748,695,565,459,436
1936,444,437,501,551,623,686,769,756,694,601,504,411
1937,330,426,478,514,621,675,759,747,682,604,506,452
1938,423,436,443,521,603,692,749,729,692,572,466,446
1939,422,399,478,574,613,682,748,748,692,584,516,466
1940,447,463,508,546,638,724,728,734,650,596,477,464
1941,446,471,497,503,612,654,750,702,643,557,509,438
1942,428,422,471,514,566,668,755,736,663,599,491,428
1943,425,461,492,540,616,632,733,704,699,587,504,436
1944,423,418,475,495,603,629,718,720,692,605,462,437
1945,402,445,432,532,579,675,766,725,692,600,471,427
1946,406,416,472,551,600,661,739,737,676,545,449,421
1947,377,460,504,555,649,675,708,700,701,582,445,406
1948,455,414,440,508,564,664,719,707,672,584,471,382
1949,326,391,454,565,594,696,735,696,687,570,540,403
1950,371,458,470,557,609,663,760,738,665,601,531,469
1951,413,440,475,541,609,677,735,722,696,575,494,400
1952,388,436,426,534,624,627,752,732,695,628,465,419
1953,456,440,471,520,543,628,761,698,699,576,500,426
1954,418,461,449,569,631,655,756,690,657,584,491,405
1955,370,414,472,483,591,658,706,748,686,601,470,445
1956,435,402,482,521,600,680,733,699,687,562,495,424
1957,376,474,486,534,578,708,740,708,680,559,468,425
1958,424,475,439,520,628,660,731,770,692,634,498,474
1959,447,428,516,585,582,703,777,726,657,615,513,439
1960,404,434,510,534,591,734,770,731,698,580,468,410
1961,411,463,470,546,570,724,770,750,661,591,470,403
1962,388,422,443,572,569,680,735,725,681,584,506,444
1963,391,508,461,477,596,649,711,716,696,595,476,395
1964,401,434,454,518,569,656,740,734,654,629,452,442
1965,420,446,478,517,589,635,724,727,631,619,498,386
1966,400,415,495,578,634,683,716,752,672,597,509,420
1967,423,444,469,432,600,650,769,777,703,608,530,384
1968,406,492,495,539,595,699,752,696,680,581,479,394
1969,413,408,461,521,626,650,745,750,701,551,501,438
1970,446,472,485,489,623,685,762,740,671,578,504,406
1971,411,427,472,505,560,661,749,753,679,554,468,378
1972,374,463,537,531,621,696,753,728,654,564,452,376
1973,400,455,435,534,642,706,738,725,661,578,469,429
1974,419,436,484,512,607,694,734,729,712,601,482,406
1975,406,436,452,462,606,678,723,708,706,564,468,427
1976,428,453,466,497,630,672,738,677,671,601,518,433
1977,398,476,445,566,536,709,739,738,670,609,503,467
1978,449,453,519,502,607,675,737,730,651,632,461,379
1979,402,426,483,523,626,694,735,709,709,600,481,451
1980,448,477,461,534,573,639,742,717,672,613,504,449
1981,454,469,474,551,613,733,748,743,696,554,509,451
1982,387,462,457,512,613,650,723,726,655,578,455,415
1983,415,461,478,490,603,667,700,731,703,606,482,449
1984,440,451,514,517,650,677,771,745,722,550,470,403
1985,394,451,453,578,601,721,764,715,633,577,458,408
1986,483,479,525,536,615,698,722,749,621,587,509,428
