Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,329,342,353,397,458,512,564,557,500,455,350,309
1896,363,333,379,365,436,529,595,563,507,452,375,358
1897,327,331,324,408,483,539,569,582,525,459,382,306
1898,277,372,333,416,448,521,556,569,529,465,360,308
1899,359,336,372,411,426,533,560,531,518,436,408,334
1900,363,334,393,384,466,544,564,542,495,455,408,323
1901,326,353,352,363,461,501,574,575,489,464,389,287
1902,294,346,329,380,417,519,554,550,530,444,357,314
1903,305,267,364,393,454,545,538,553,508,443,392,293
1904,274,354,373,392,479,523,560,587,555,458,376,318
1905,366,369,399,415,439,510,565,551,511,416,357,284
1906,336,387,369,393,446,498,589,570,523,451,364,355
1907,330,396,366,438,449,511,571,558,491,471,372,353
1908,343,327,355,405,420,479,604,574,526,422,373,314
1909,390,352,350,407,439,525,563,560,521,444,375,328
1910,300,321,397,432,479,496,581,550,512,456,372,342
1911,339,311,396,396,422,505,597,528,484,423,342,288
1912,330,331,354,373,456,520,560,547,514,422,362,283
1913,296,322,340,381,463,518,588,603,543,440,408,334
1914,374,350,386,420,470,514,569,572,507,459,366,309
1915,326,360,384,424,448,503,569,570,501,432,355,327
1916,318,374,382,405,419,490,553,559,506,417,321,290
1917,273,321,305,374,417,524,621,576,526,470,377,327
1918,302,333,377,397,418,580,566,559,539,476,362,299
1919,296,324,339,401,480,516,590,572,509,404,326,316
1920,312,332,334,385,445,511,546,575,498,408,373,329
1921,314,331,388,379,435,539,594,556,504,456,368,349
1922,267,318,332,360,456,537,605,561,545,440,336,356
1923,316,302,343,401,455,474,568,560,545,433,376,296
1924,284,369,341,398,494,527,569,556,518,416,368,319
1925,328,370,368,415,477,542,603,553,480,429,358,330
1926,296,363,408,468,481,563,586,564,482,453,419,313
1927,326,367,359,392,444,523,581,553,478,450,395,312
1928,315,330,400,398,500,524,574,564,520,437,366,304
1929,299,299,348,367,463,522,580,590,512,458,340,358
1930,319,367,374,426,428,528,582,567,496,427,363,284
1931,334,369,371,433,507,529,632,609,499,440,345,325
1932,294,327,377,385,466,530,570,559,542,436,393,283
1933,288,286,364,397,422,510,611,593,503,497,367,333
1934,335,378,432,448,494,519,585,588,535,464,402,341
1935,329,351,326,416,454,536,568,586,536,431,333,321
1936,346,347,374,419,475,538,613,593,530,467,362,314
1937,244,329,368,389,470,528,600,581,526,460,388,348
1938,333,348,349,404,465,544,593,571,542,445,336,353
1939,325,292,367,437,470,521,584,581,550,441,368,350
1940,375,377,394,427,488,563,566,569,510,458,355,362
1941,363,392,389,390,479,510,591,558,487,427,385,354
1942,338,316,337,401,430,508,592,576,511,458,373,337
1943,322,350,396,422,466,481,573,540,538,451,372,340
1944,320,322,344,377,466,491,556,549,529,463,369,335
1945,309,344,326,386,448,522,602,563,536,478,364,343
1946,295,302,354,409,462,505,584,572,517,413,344,347
1947,274,355,386,419,499,529,543,543,534,460,328,303
1948,324,297,327,398,433,519,557,544,512,446,336,296
1949,223,286,359,425,465,538,571,544,529,421,408,302
1950,280,345,350,418,460,507,599,572,524,462,429,392
1951,327,332,346,417,468,523,572,558,533,432,381,312
1952,306,332,330,412,473,486,599,569,543,480,346,341
1953,364,311,342,393,419,487,597,547,549,430,394,313
1954,318,349,342,438,479,507,595,534,496,431,383,320
1955,283,297,339,356,456,507,549,581,524,449,350,373
1956,360,288,346,402,471,522,579,542,531,438,346,300
1957,281,388,379,410,461,550,580,544,531,446,357,333
1958,327,386,347,399,485,520,580,621,540,487,368,340
1959,352,326,380,440,442,542,612,568,518,470,358,314
1960,307,337,391,404,448,570,611,562,533,439,367,312
1961,307,353,357,406,439,567,606,606,509,447,346,321
1962,284,346,334,424,437,522,572,563,521,455,382,333
1963,270,409,346,377,475,510,551,560,556,478,385,312
1964,303,302,332,387,435,512,582,578,497,486,354,364
1965,338,329,367,417,446,494,570,581,486,462,405,307
1966,293,309,369,432,488,533,560,592,524,451,406,348
1967,325,336,363,344,462,510,611,619,565,458,423,281
1968,302,400,376,399,454,544,598,550,524,450,387,302
1969,343,328,345,396,480,521,591,584,548,420,371,329
1970,355,361,365,355,470,539,604,578,505,438,394,330
1971,317,317,349,378,442,513,594,602,528,411,348,290
1972,286,347,400,399,472,548,596,578,515,453,368,292
1973,311,367,343,401,495,552,580,573,513,440,373,346
1974,333,316,382,384,457,539,588,574,552,473,369,316
1975,300,338,349,348,458,524,572,556,558,432,347,311
1976,299,345,343,374,479,517,588,541,546,465,404,293
1977,317,348,319,415,423,562,579,591,529,465,380,378
1978,374,367,424,397,461,522,581,580,515,480,349,284
1979,317,324,382,395,481,530,581,562,551,475,367,336
1980,371,380,353,409,448,493,593,565,520,462,367,339
1981,359,362,374,418,475,577,581,582,549,426,408,365
1982,295,356,365,396,468,515,575,578,531,452,366,325
1983,335,374,392,383,464,522,548,596,565,481,391,372
1984,345,333,387,389,498,529,624,599,575,430,372,320
1985,309,327,337,436,458,567,615,559,510,443,363,323
1986,391,387,415,413,472,546,575,593,492,449,376,333
1987,303,342,368,442,497,551,545,573,536,507,383,319
1988,329,344,374,422,455,531,619,590,538,484,389,315
1989,286,324,400,451,471,538,585,560,525,451,372,303
1990,316,310,384,446,464,533,610,584,538,473,365,261
1991,321,380,346,391,438,514,604,571,576,507,393,330
1992,321,394,406,449,530,543,584,602,545,493,380,308
1993,332,356,418,414,476,531,569,571,533,479,368,322
1994,329,333,398,425,475,541,598,590,536,444,324,324
1995,381,394,387,402,456,509,578,585,545,471,425,368
1996,354,391,388,425,481,547,621,602,522,448,396,371
1997,359,350,401,419,522,541,584,587,561,445,411,320
1998,357,356,382,392,424,509,597,607,550,434,376,294
1999,332,339,353,385,454,522,573,561,552,483,403,323
2000,362,378,380,432,493,566,563,588,534,455,337,346
2001,311,333,404,383,534,560,590,592,553,492,408,341
2002,314,352,356,421,464,550,608,572,549,450,401,343
2003,382,343,384,383,476,553,629,591,572,495,357,352
2004,334,344,428,433,476,545,598,586,533,454,364,341
2005,353,378,393,390,480,511,630,601,505,455,405,369
2006,338,348,328,413,497,575,637,567,532,440,392,320
2007,278,356,401,423,486,545,603,598,522,447,405,308
2008,324,343,369,394,479,550,610,608,554,468,418,317
2009,344,349,361,397,522,532,611,584,573,443,375,323
2010,356,371,361,377,427,540,598,563,540,486,368,371
2011,338,315,372,399,434,521,588,581,568,477,373,291
2012,336,344,364,421,480,531,584,622,574,479,405,340
2013,303,322,404,443,493,568,627,585,544,443,398,310
2014,363,384,411,436,497,559,631,600,572,500,414,379
2015,364,404,428,423,468,584,604,602,572,516,350,314
2016,358,382,400,443,488,576,603,596,535,470,408,336
2017,339,384,401,422,490,573,631,629,556,460,418,340
2018,385,336,374,430,484,552,645,599,549,474,405,355
2019,365,319,377,452,456,567,600,609,541,437,398,363
2020,342,359,368,436,496,549,600,632,586,512,376,336
2021,345,353,354,430,495,588,649,612,568,450,421,340
2022,330,322,389,411,470,557,612,629,597,487,339,348
2023,335,312,345,417,483,521,630,604,540,484,396,378
2024,362,368,379,416,485,588,656,600,567,517,370,379
2025,327,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
