Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,797,328,227,164,88,5,4,4,46,100,183,192
1896,815,23,454,417,110,7,31,38,31,163,295,230
1897,331,647,475,26,25,22,13,10,13,201,102,252
1898,133,185,145,35,158,9,3,6,79,56,97,108
1899,461,27,629,97,84,64,2,11,0,318,271,295
1900,212,45,197,268,225,7,3,1,23,133,633,98
1901,719,540,96,268,204,3,2,7,97,120,213,79
1902,85,535,323,186,60,3,1,2,0,105,284,155
1903,398,137,564,105,15,5,0,0,4,16,206,62
1904,236,586,507,234,44,0,1,21,176,243,50,218
1905,237,332,562,97,259,0,0,2,12,0,204,93
1906,563,366,940,293,340,35,9,12,5,3,133,701
1907,625,290,893,110,36,64,2,10,1,144,4,393
1908,311,405,72,61,125,4,3,4,83,75,143,109
1909,1078,593,300,9,3,22,0,4,8,113,355,621
1910,359,112,264,66,8,0,12,0,83,98,85,130
1911,1170,294,605,170,32,5,2,0,20,22,71,156
1912,189,7,434,287,104,21,5,0,56,45,122,73
1913,321,206,159,123,128,57,48,41,2,1,321,376
1914,1079,308,64,167,53,43,3,1,20,72,17,350
1915,486,712,128,231,314,0,2,1,6,0,61,384
1916,1059,290,314,72,37,0,2,29,59,249,97,460
1917,186,485,129,87,81,0,4,3,4,1,72,61
1918,63,613,646,31,42,4,11,13,137,67,252,209
1919,91,524,313,21,57,0,1,0,104,33,33,294
1920,103,274,602,199,5,33,2,37,5,219,214,357
1921,486,196,200,43,192,9,0,1,27,31,56,706
1922,380,549,344,58,114,34,19,13,0,81,285,525
1923,329,79,33,453,40,19,1,5,119,69,57,102
1924,148,92,300,85,10,0,0,0,2,209,189,359
1925,119,446,296,280,132,35,26,21,15,99,99,154
1926,215,445,60,397,34,14,3,1,0,69,628,165
1927,254,609,229,194,45,26,5,3,12,252,242,219
1928,113,198,415,122,92,5,1,0,0,10,243,274
1929,158,168,258,196,14,105,1,4,17,4,0,145
1930,439,296,279,132,144,2,1,6,43,30,221,10
1931,351,220,95,141,105,66,1,28,12,35,290,793
1932,328,451,73,104,115,13,3,2,23,7,38,216
1933,659,67,199,41,154,29,1,7,4,105,8,434
1934,166,332,30,8,82,57,4,7,29,146,328,285
1935,492,217,386,531,18,0,5,21,7,114,90,215
1936,319,1101,193,144,41,59,23,14,8,189,4,592
1937,351,670,498,118,6,13,9,0,1,32,109,569
1938,336,810,855,262,58,28,15,2,33,150,70,195
1939,298,234,314,86,80,12,5,9,116,132,21,78
1940,859,681,330,126,13,3,0,0,5,164,39,758
1941,400,672,372,415,39,8,1,17,4,130,124,751
1942,331,238,186,361,150,0,0,5,4,28,293,270
1943,701,252,582,207,27,20,2,0,7,63,71,284
1944,290,562,156,208,67,25,0,0,7,96,477,222
1945,63,628,458,59,87,41,5,14,16,277,223,530
1946,104,210,362,23,96,0,16,6,14,137,456,346
1947,76,141,212,81,53,17,0,3,12,167,79,98
1948,52,211,424,423,124,19,0,0,2,45,27,315
1949,208,258,450,17,125,1,5,15,4,8,176,201
1950,477,251,238,169,48,4,15,3,41,200,600,453
1951,316,196,117,192,60,11,3,1,1,111,240,707
1952,713,191,584,222,13,13,24,4,34,4,211,559
1953,277,14,176,225,115,50,7,5,1,46,185,108
1954,378,291,463,130,23,56,6,0,2,0,206,332
1955,454,212,42,227,116,3,2,4,10,5,191,1200
1956,549,147,14,283,174,2,13,0,22,163,1,80
1957,335,296,237,194,282,20,2,0,28,126,127,348
1958,391,600,719,483,96,35,13,14,87,8,59,51
1959,312,511,45,94,33,0,1,5,139,2,0,96
1960,297,485,197,172,18,0,10,0,13,38,405,113
1961,165,97,241,89,84,11,10,35,26,23,248,177
1962,218,1001,261,32,52,8,11,3,16,151,30,116
1963,409,465,354,452,116,47,0,23,69,169,399,41
1964,235,20,230,119,124,41,5,17,21,144,345,721
1965,320,83,177,386,13,11,18,40,19,21,603,374
1966,135,157,39,63,32,10,5,8,17,0,332,751
1967,500,46,460,636,65,41,9,16,65,23,257,226
1968,230,198,225,75,46,11,14,17,1,155,269,441
1969,1249,862,200,229,23,49,16,2,19,120,123,269
1970,655,195,249,91,1,48,7,1,1,35,551,470
1971,147,74,177,103,186,10,12,8,27,32,192,544
1972,80,100,11,124,19,36,2,12,54,102,441,254
1973,589,575,410,47,35,7,2,14,5,162,392,383
1974,425,73,469,220,17,7,26,7,0,200,97,275
1975,122,457,499,238,21,12,4,28,31,246,79,40
1976,18,323,150,155,38,9,24,31,139,56,81,57
1977,152,94,130,13,204,45,3,29,13,21,151,624
1978,638,687,662,410,12,7,6,8,163,5,200,187
1979,507,469,410,56,48,0,12,6,19,144,172,253
1980,809,686,290,164,95,7,10,2,8,29,32,146
1981,457,165,470,130,63,1,1,4,13,205,416,277
1982,510,267,695,428,19,64,8,20,177,275,532,422
1983,648,592,816,288,56,10,1,54,107,78,614,586
1984,24,207,139,97,14,31,34,25,11,148,475,231
1985,103,172,343,27,4,25,17,4,80,100,441,213
1986,296,927,520,117,31,1,11,4,97,10,40,95
1987,260,319,339,47,65,17,2,2,4,136,186,310
1988,321,80,73,286,75,26,8,16,12,1,269,351
1989,84,216,373,54,79,15,1,14,150,141,108,3
1990,318,242,127,113,178,5,11,8,31,13,64,87
1991,64,155,1080,46,58,24,4,8,13,181,78,217
1992,169,563,299,40,18,28,35,7,4,197,12,565
1993,808,594,349,63,64,84,0,1,0,58,156,170
1994,159,408,103,177,153,1,2,0,61,113,343,208
1995,1018,112,1003,229,229,73,5,4,1,0,7,437
1996,461,613,296,185,160,21,12,4,3,195,414,803
1997,887,52,23,27,17,37,16,5,31,52,325,268
1998,587,1100,446,262,302,87,5,3,71,51,211,135
1999,488,362,164,213,32,24,11,8,14,21,140,20
2000,539,743,188,174,102,42,0,12,29,253,43,39
2001,389,417,209,269,10,1,27,2,15,60,341,495
2002,161,100,234,80,76,7,2,1,8,6,391,539
2003,58,245,185,360,143,1,25,37,11,6,155,496
2004,180,472,92,28,23,3,3,6,10,406,157,445
2005,639,364,436,155,246,20,2,23,41,60,74,596
2006,485,199,562,502,85,4,13,0,2,55,92,243
2007,89,380,91,116,22,2,4,13,36,78,35,270
2008,622,333,31,8,59,0,10,1,1,49,221,261
2009,214,408,196,73,101,42,2,7,9,229,44,363
2010,467,398,187,371,87,2,4,1,0,239,302,922
2011,174,326,653,72,138,94,14,6,15,144,121,8
2012,257,87,349,286,7,18,4,10,3,60,230,547
2013,110,68,118,58,42,11,16,14,26,32,77,57
2014,70,308,217,141,33,1,18,15,35,22,153,454
2015,28,221,38,120,104,17,46,2,11,124,261,355
2016,547,114,394,200,61,11,1,1,4,260,150,400
2017,1115,763,208,272,42,14,1,21,47,18,208,16
2018,259,60,676,185,32,0,12,1,2,43,320,159
2019,436,728,429,75,307,10,5,0,16,1,167,424
2020,95,14,353,274,76,7,2,3,2,0,88,150
2021,378,80,173,27,9,9,11,5,4,325,44,716
2022,6,25,139,130,4,13,2,23,60,2,182,744
2023,959,461,878,10,70,32,1,42,24,26,97,196
2024,352,629,380,172,63,2,10,4,6,9,233,201
2025,60,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
