Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1895,368,401,431,484,569,622,692,684,608,536,419,330
1896,392,377,435,454,574,678,736,695,618,536,425,384
1897,376,373,388,485,574,635,702,710,631,504,406,314
1898,313,393,380,512,550,638,708,721,629,498,391,335
1899,358,366,416,482,508,630,676,633,626,494,428,357
1900,379,380,453,451,560,641,689,646,559,513,442,347
1901,347,412,418,447,566,620,712,704,580,528,430,341
1902,338,374,393,466,534,631,675,670,618,502,418,340
1903,338,322,410,466,546,634,659,684,608,509,428,334
1904,336,394,439,485,575,630,684,702,618,496,404,347
1905,392,425,464,499,534,602,687,691,616,489,428,332
1906,349,441,433,470,539,625,729,685,623,523,397,378
1907,354,423,421,506,530,605,687,652,580,545,410,359
1908,357,365,410,473,503,578,711,678,602,469,418,329
1909,388,379,405,479,530,656,686,697,607,492,397,328
1910,326,348,440,495,571,610,704,686,624,519,423,366
1911,373,343,446,464,516,610,703,655,590,480,386,297
1912,340,353,403,456,543,629,676,656,577,490,404,308
1913,300,358,382,453,520,602,695,698,637,492,444,346
1914,383,382,440,488,558,625,699,687,618,530,435,323
1915,338,381,422,490,527,623,692,680,607,496,391,342
1916,342,391,450,493,524,614,684,661,596,464,365,304
1917,308,356,351,444,504,632,737,694,626,531,410,355
1918,325,362,434,470,517,694,697,676,631,542,396,326
1919,322,350,386,482,578,619,720,696,620,459,384,336
1920,369,403,391,459,545,621,694,689,592,472,399,325
1921,338,371,442,446,525,644,722,686,596,537,410,393
1922,305,357,385,434,544,649,711,698,646,499,372,387
1923,355,354,400,474,561,580,694,672,619,484,433,357
1924,315,389,398,474,575,648,684,672,615,470,403,324
1925,313,392,411,482,566,635,724,668,577,494,394,374
1926,324,398,458,524,568,668,701,686,590,518,432,345
1927,352,401,408,471,542,630,709,680,593,511,435,336
1928,342,372,443,469,576,631,695,673,611,497,404,332
1929,319,331,404,447,554,616,708,721,610,528,388,366
1930,337,404,431,505,514,628,704,690,580,484,411,294
1931,346,409,423,502,585,634,758,718,606,515,386,323
1932,312,381,430,463,547,621,694,683,628,513,429,317
1933,311,307,412,450,498,611,728,694,612,562,414,356
1934,358,414,488,526,587,597,714,711,620,529,430,381
1935,356,404,386,487,535,654,687,702,639,502,377,356
1936,355,377,440,501,573,656,730,713,609,523,420,346
1937,248,352,407,464,565,639,720,710,649,528,427,396
1938,366,374,402,481,547,636,707,700,646,500,364,385
1939,356,324,420,513,567,631,713,717,627,503,440,385
